chr	start	end	interval_id	num_peaks	num_samples	DME-4_R1.mLb.clN.bool	PDR-4_R1.mLb.clN.bool	UBR-18_R1.mLb.clN.bool	UVR-11_R1.mLb.clN.bool	UVR-14_R1.mLb.clN.bool	DME-4_R1.mLb.clN.fc	PDR-4_R1.mLb.clN.fc	UBR-18_R1.mLb.clN.fc	UVR-11_R1.mLb.clN.fc	UVR-14_R1.mLb.clN.fc	DME-4_R1.mLb.clN.qval	PDR-4_R1.mLb.clN.qval	UBR-18_R1.mLb.clN.qval	UVR-11_R1.mLb.clN.qval	UVR-14_R1.mLb.clN.qval	DME-4_R1.mLb.clN.pval	PDR-4_R1.mLb.clN.pval	UBR-18_R1.mLb.clN.pval	UVR-11_R1.mLb.clN.pval	UVR-14_R1.mLb.clN.pval	DME-4_R1.mLb.clN.start	PDR-4_R1.mLb.clN.start	UBR-18_R1.mLb.clN.start	UVR-11_R1.mLb.clN.start	UVR-14_R1.mLb.clN.start	DME-4_R1.mLb.clN.end	PDR-4_R1.mLb.clN.end	UBR-18_R1.mLb.clN.end	UVR-11_R1.mLb.clN.end	UVR-14_R1.mLb.clN.end	DME-4_R1.mLb.clN.summit	PDR-4_R1.mLb.clN.summit	UBR-18_R1.mLb.clN.summit	UVR-11_R1.mLb.clN.summit	UVR-14_R1.mLb.clN.summit
GL000009.2	191376	191591	Interval_11	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	4.86618	NA	NA	NA	NA	3.88189	NA	NA	NA	NA	6.99486	NA	NA	NA	NA	191376	NA	NA	NA	NA	191591	NA	NA	NA	NA	45	NA	NA	NA
GL000009.2	200744	200948	Interval_12	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	5.45907	NA	NA	NA	NA	4.63863	NA	NA	NA	NA	8.21676	NA	NA	NA	NA	200744	NA	NA	NA	NA	200948	NA	NA	NA	NA	94
GL000194.1	1772	2072	Interval_13	2	2	FALSE	TRUE	FALSE	TRUE	FALSE	NA	3.87743	NA	3.71023	NA	NA	2.24418	NA	2.48062	NA	NA	5.19529	NA	5.61555	NA	NA	1772	NA	1831	NA	NA	1983	NA	2072	NA	NA	168	NA	144	NA
GL000194.1	2386	3150	Interval_14	4	4	TRUE	TRUE	FALSE	TRUE	TRUE	7.61834	5.14064	NA	6.44815	6.9819	8.69629	5.11686	NA	10.6579	8.14262	12.7159	8.32691	NA	14.4877	12.0691	2573	2460	NA	2386	2515	2937	2905	NA	3150	2886	164	350	NA	392	242
GL000194.1	21572	21783	Interval_15	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	3.75337	NA	NA	NA	NA	3.71775	NA	NA	NA	NA	7.18564	NA	NA	NA	NA	21572	NA	NA	NA	NA	21783	NA	NA	NA	NA	103
GL000194.1	82068	82294	Interval_16	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	4.56924	NA	NA	NA	NA	4.50311	NA	NA	NA	NA	7.66465	NA	NA	NA	NA	82068	NA	NA	NA	NA	82294	NA	NA	NA	NA	63	NA	NA	NA
GL000194.1	101404	101939	Interval_17	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	3.35238	NA	NA	NA	NA	1.93567	NA	NA	NA	NA	4.97812	NA	NA	NA	NA	101404	NA	NA	NA	NA	101939	NA	NA	NA	NA	528	NA
GL000194.1	109854	110067	Interval_18	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	3.5493	NA	NA	NA	NA	2.15615	NA	NA	NA	NA	5.10698	NA	NA	NA	NA	109854	NA	NA	NA	NA	110067	NA	NA	NA	NA	200	NA	NA
GL000194.1	114672	115025	Interval_19	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	4.90262	NA	NA	NA	NA	4.73626	NA	NA	NA	NA	7.93064	NA	NA	NA	NA	114672	NA	NA	NA	NA	115025	NA	NA	NA	NA	327	NA	NA
GL000194.1	182413	182690	Interval_20	1	1	TRUE	FALSE	FALSE	FALSE	FALSE	5.15773	NA	NA	NA	NA	3.71908	NA	NA	NA	NA	7.20315	NA	NA	NA	NA	182413	NA	NA	NA	NA	182690	NA	NA	NA	NA	226	NA	NA	NA	NA
GL000195.1	16141	16372	Interval_21	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	3.10993	NA	NA	NA	NA	1.88853	NA	NA	NA	NA	4.92415	NA	NA	NA	NA	16141	NA	NA	NA	NA	16372	NA	NA	NA	NA	186	NA
GL000195.1	23939	24156	Interval_22	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	3.49489	NA	NA	NA	NA	3.20374	NA	NA	NA	NA	6.61074	NA	NA	NA	NA	23939	NA	NA	NA	NA	24156	NA	NA	NA	NA	142
GL000195.1	30521	31530	Interval_23	5	5	TRUE	TRUE	TRUE	TRUE	TRUE	10.5175	11.6751	15.7579	8.79497	9.17191	29.1113	62.0854	77.3806	37.5194	26.6921	34.2636	67.3231	82.751	42.4031	31.6746	30688	30582	30534	30521	30741	31238	31530	31028	31001	31357	179	286	328	342	110
GL000195.1	32095	32931	Interval_24	4	4	FALSE	TRUE	TRUE	TRUE	TRUE	NA	8.13339	10.081	7.10145	8.07404	NA	32.8938	36.4796	23.944	19.9076	NA	37.4211	41.1328	28.4742	24.6646	NA	32095	32345	32246	32346	NA	32916	32850	32931	32906	NA	371	121	232	123
GL000195.1	91936	92415	Interval_25	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	3.53904	NA	NA	NA	NA	1.45112	NA	NA	NA	NA	4.28416	NA	NA	NA	NA	91936	NA	NA	NA	NA	92415	NA	NA	NA	NA	196	NA	NA	NA
GL000205.2	43066	43326	Interval_26	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	3.77112	NA	NA	NA	NA	3.16646	NA	NA	NA	NA	6.2135	NA	NA	NA	NA	43066	NA	NA	NA	NA	43326	NA	NA	NA	NA	82	NA	NA	NA
GL000205.2	80949	81174	Interval_27	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	3.24816	NA	NA	NA	NA	2.80274	NA	NA	NA	NA	5.83236	NA	NA	NA	NA	80949	NA	NA	NA	NA	81174	NA	NA	NA	NA	13	NA	NA
GL000205.2	87727	88378	Interval_28	5	5	TRUE	TRUE	TRUE	TRUE	TRUE	10.4499	8.82086	12.6077	7.20017	6.28744	24.7954	25.451	44.7971	17.3578	9.30177	29.8347	29.6824	49.7121	21.5844	13.3354	87754	87727	87750	87797	87977	88378	88275	88289	88261	88187	312	280	353	273	126
GL000205.2	88813	89698	Interval_29	4	4	TRUE	TRUE	TRUE	TRUE	FALSE	10.6261	19.0106	20.5336	11.4772	NA	25.7362	87.1329	94.4928	37.9925	NA	30.8041	92.5648	99.9729	42.8818	NA	88873	88813	88832	88873	NA	89595	89694	89660	89698	NA	156	215	195	155	NA
GL000205.2	135849	136340	Interval_30	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	6.09433	NA	NA	NA	NA	6.89842	NA	NA	NA	NA	10.2387	NA	NA	NA	NA	135849	NA	NA	NA	NA	136340	NA	NA	NA	NA	287	NA	NA
GL000205.2	145452	145871	Interval_31	2	2	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	5.96021	4.42538	NA	NA	NA	6.69226	4.09234	NA	NA	NA	10.0188	7.41006	NA	NA	NA	145468	145452	NA	NA	NA	145727	145871	NA	NA	NA	162	224	NA
GL000205.2	177914	178116	Interval_32	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	4.02598	NA	NA	NA	NA	2.00141	NA	NA	NA	NA	5.21328	NA	NA	NA	NA	177914	NA	NA	NA	NA	178116	NA	NA	NA	NA	31
GL000208.1	89640	90259	Interval_33	3	3	FALSE	TRUE	TRUE	FALSE	TRUE	NA	5.30856	7.71948	NA	5.00414	NA	4.79153	10.988	NA	3.73628	NA	7.9773	14.5568	NA	7.2125	NA	89652	89640	NA	89688	NA	89955	90004	NA	90259	NA	124	139	NA	71
GL000208.1	90319	90775	Interval_34	2	2	FALSE	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	5.27882	4.54922	NA	NA	NA	5.44156	2.87904	NA	NA	NA	8.88585	6.24535	NA	NA	NA	90319	90555	NA	NA	NA	90704	90775	NA	NA	NA	343	91
GL000214.1	109054	109290	Interval_35	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	4.35284	NA	NA	NA	NA	5.32449	NA	NA	NA	NA	8.7533	NA	NA	NA	NA	109054	NA	NA	NA	NA	109290	NA	NA	NA	NA	167	NA
GL000214.1	117069	117290	Interval_36	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	6.65297	NA	NA	NA	NA	23.8445	NA	NA	NA	NA	28.3711	NA	NA	NA	NA	117069	NA	NA	NA	NA	117290	NA	NA	NA	NA	96	NA
GL000214.1	117502	117686	Interval_37	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	4.36501	NA	NA	NA	NA	7.52452	NA	NA	NA	NA	10.9014	NA	NA	NA	NA	117502	NA	NA	NA	NA	117686	NA	NA	NA	NA	49	NA	NA
GL000214.1	118446	118756	Interval_38	4	4	TRUE	FALSE	TRUE	TRUE	TRUE	7.74593	NA	7.68695	7.55862	5.80581	15.3119	NA	26.0356	31.1505	6.7007	19.8792	NA	30.2939	35.9103	10.4923	118463	NA	118446	118453	118499	118756	NA	118736	118725	118689	153	NA	165	162	101
GL000214.1	119829	120010	Interval_39	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	4.80158	NA	NA	NA	NA	12.1016	NA	NA	NA	NA	15.7271	NA	NA	NA	NA	119829	NA	NA	NA	NA	120010	NA	NA	NA	NA	54	NA	NA
GL000214.1	120801	121185	Interval_40	2	2	TRUE	FALSE	TRUE	FALSE	FALSE	6.05498	NA	7.24038	NA	NA	11.8674	NA	33.5782	NA	NA	16.1691	NA	38.1321	NA	NA	120858	NA	120801	NA	NA	121085	NA	121185	NA	NA	137	NA	206	NA	NA
GL000214.1	123444	123646	Interval_41	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	5.6338	NA	NA	NA	NA	22.0873	NA	NA	NA	NA	26.1752	NA	NA	NA	NA	123444	NA	NA	NA	NA	123646	NA	NA	NA	NA	83	NA	NA
GL000214.1	124222	124528	Interval_42	3	3	FALSE	FALSE	TRUE	TRUE	TRUE	NA	NA	4.84882	4.43578	4.6643	NA	NA	17.1512	16.8784	6.58822	NA	NA	21.0164	21.0787	10.3689	NA	NA	124237	124222	124245	NA	NA	124528	124457	124527	NA	NA	103	122	117
GL000214.1	125267	126463	Interval_43	4	4	FALSE	TRUE	TRUE	TRUE	TRUE	NA	7.96136	8.177	7.5592	7.17651	NA	21.3713	51.1055	51.4868	17.3705	NA	25.4271	56.1644	56.4958	22.0035	NA	125287	125267	125283	125289	NA	125484	125513	126463	125482	NA	105	120	122	103
GL000214.1	127057	127260	Interval_44	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	5.25858	NA	NA	NA	NA	10.4553	NA	NA	NA	NA	14.5866	NA	NA	NA	NA	127057	NA	NA	NA	NA	127260	NA	NA	NA	NA	128
GL000214.1	127535	127714	Interval_45	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	3.62068	NA	NA	NA	NA	10.2724	NA	NA	NA	NA	13.803	NA	NA	NA	NA	127535	NA	NA	NA	NA	127714	NA	NA	NA	NA	120	NA	NA
GL000214.1	129010	129777	Interval_46	5	5	TRUE	TRUE	TRUE	TRUE	TRUE	6.85977	5.47002	8.29498	4.33558	4.11023	23.6264	11.1736	53.7956	21.3451	6.19951	28.6227	14.7525	58.9006	25.762	9.93827	129010	129104	129059	129106	129153	129777	129660	129736	129670	129636	238	272	476	148	146
GL000214.1	131208	132149	Interval_47	4	4	TRUE	FALSE	TRUE	TRUE	TRUE	5.25747	NA	7.54935	7.71396	3.64835	12.1057	NA	39.1516	50.8318	3.07313	16.4251	NA	43.8958	55.8351	6.46466	131211	NA	131258	131311	131208	131482	NA	132149	132149	131470	185	NA	509	452	194
GL000214.1	132988	133325	Interval_48	3	3	FALSE	TRUE	TRUE	TRUE	FALSE	NA	4.56944	3.32738	4.16661	NA	NA	5.64759	5.8295	13.6537	NA	NA	8.8937	9.10099	17.6697	NA	NA	133022	133005	132988	NA	NA	133291	133252	133325	NA	NA	160	148	199	NA
GL000214.1	133684	133984	Interval_49	2	2	FALSE	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	4.99281	5.93755	NA	NA	NA	20.4249	10.5337	NA	NA	NA	24.7999	14.6717	NA	NA	NA	133684	133684	NA	NA	NA	133984	133929	NA	NA	NA	166	163
GL000214.1	136381	137099	Interval_50	4	4	TRUE	FALSE	TRUE	TRUE	TRUE	5.49747	NA	8.59837	4.8698	5.32804	6.84347	NA	28.586	10.4176	5.62574	10.6805	NA	32.9478	14.2322	9.30966	136400	NA	136381	136642	136656	136689	NA	137099	137093	137099	251	NA	268	390	242
GL000216.2	307	790	Interval_51	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	4.45097	NA	NA	NA	NA	4.95242	NA	NA	NA	NA	8.35112	NA	NA	NA	NA	307	NA	NA	NA	NA	790	NA	NA	NA	NA	246	NA
GL000216.2	173809	174005	Interval_52	3	3	FALSE	TRUE	TRUE	FALSE	TRUE	NA	5.26885	5.04675	NA	4.58038	NA	8.61324	8.81243	NA	5.83956	NA	12.0501	12.2625	NA	9.54495	NA	173809	173809	NA	173809	NA	174005	174002	NA	174000	NA	133	183	NA	140
GL000216.2	174672	174928	Interval_53	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	3.22779	NA	NA	NA	NA	2.39105	NA	NA	NA	NA	5.36834	NA	NA	NA	NA	174672	NA	NA	NA	NA	174928	NA	NA	NA	NA	5	NA	NA
GL000218.1	1369	1659	Interval_54	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	4.22305	NA	NA	NA	NA	3.02559	NA	NA	NA	NA	6.23239	NA	NA	NA	NA	1369	NA	NA	NA	NA	1659	NA	NA	NA	NA	252	NA
GL000218.1	18476	18762	Interval_55	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	5.97937	NA	NA	NA	NA	8.14598	NA	NA	NA	NA	11.5595	NA	NA	NA	NA	18476	NA	NA	NA	NA	18762	NA	NA	NA	NA	175	NA	NA
GL000218.1	39704	40236	Interval_56	3	3	TRUE	FALSE	FALSE	TRUE	TRUE	3.56506	NA	NA	3.58405	4.43282	1.93365	NA	NA	5.09796	4.72778	5.13389	NA	NA	8.508	8.31546	39954	NA	NA	39726	39704	40180	NA	NA	40236	40212	160	NA	NA	449	282
GL000218.1	57615	57835	Interval_57	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	3.24264	NA	NA	NA	NA	2.12151	NA	NA	NA	NA	5.19045	NA	NA	NA	NA	57615	NA	NA	NA	NA	57835	NA	NA	NA	NA	179	NA
GL000218.1	63102	63368	Interval_58	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	3.87096	NA	NA	NA	NA	3.10425	NA	NA	NA	NA	6.14621	NA	NA	NA	NA	63102	NA	NA	NA	NA	63368	NA	NA	NA	NA	22	NA	NA	NA
GL000218.1	83582	83882	Interval_59	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	4.03943	NA	NA	NA	NA	3.70824	NA	NA	NA	NA	6.98156	NA	NA	NA	NA	83582	NA	NA	NA	NA	83882	NA	NA	NA	NA	206	NA
GL000218.1	97365	97647	Interval_60	1	1	TRUE	FALSE	FALSE	FALSE	FALSE	4.46097	NA	NA	NA	NA	3.20525	NA	NA	NA	NA	6.61984	NA	NA	NA	NA	97365	NA	NA	NA	NA	97647	NA	NA	NA	NA	98	NA	NA	NA	NA
GL000219.1	40375	40608	Interval_61	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	4.27545	NA	NA	NA	NA	4.01832	NA	NA	NA	NA	7.14172	NA	NA	NA	NA	40375	NA	NA	NA	NA	40608	NA	NA	NA	NA	31	NA	NA	NA
GL000219.1	42449	42785	Interval_62	4	4	TRUE	TRUE	FALSE	TRUE	TRUE	4.72909	6.06129	NA	6.32716	6.34223	4.10744	10.1885	NA	8.87793	11.3441	7.63874	13.7142	NA	12.5847	15.5514	42449	42508	NA	42487	42480	42767	42785	NA	42728	42769	195	48	NA	86	89
GL000219.1	80596	80783	Interval_63	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	3.18447	NA	NA	NA	NA	1.45112	NA	NA	NA	NA	4.28057	NA	NA	NA	NA	80596	NA	NA	NA	NA	80783	NA	NA	NA	NA	18	NA	NA	NA
GL000219.1	99268	100054	Interval_64	4	4	TRUE	TRUE	TRUE	FALSE	TRUE	6.30027	7.45801	7.04254	NA	4.88692	8.53185	18.7515	15.9823	NA	7.04109	12.5362	22.6922	19.7942	NA	10.8639	99268	99522	99703	NA	99412	99971	100054	100054	NA	99860	545	255	76	NA	365
GL000219.1	107886	108085	Interval_65	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	4.59092	NA	NA	NA	NA	3.99119	NA	NA	NA	NA	7.11247	NA	NA	NA	NA	107886	NA	NA	NA	NA	108085	NA	NA	NA	NA	158	NA	NA	NA
GL000219.1	117145	117395	Interval_66	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	4.43403	NA	NA	NA	NA	3.73559	NA	NA	NA	NA	6.85179	NA	NA	NA	NA	117145	NA	NA	NA	NA	117395	NA	NA	NA	NA	215	NA	NA
GL000219.1	178269	178718	Interval_67	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	3.73033	NA	NA	NA	NA	3.83933	NA	NA	NA	NA	7.13511	NA	NA	NA	NA	178269	NA	NA	NA	NA	178718	NA	NA	NA	NA	395	NA
GL000220.1	7288	7830	Interval_68	4	4	TRUE	TRUE	TRUE	FALSE	TRUE	5.15773	6.19332	12.5782	NA	6.82383	3.71908	6.72147	27.0268	NA	7.55281	7.20315	10.0423	31.326	NA	11.4254	7439	7304	7288	NA	7290	7800	7665	7830	NA	7485	322	171	472	NA	152
GL000220.1	21763	21991	Interval_69	1	1	FALSE	TRUE	FALSE	FALSE	FALSE	NA	4.4238	NA	NA	NA	NA	3.01489	NA	NA	NA	NA	6.04949	NA	NA	NA	NA	21763	NA	NA	NA	NA	21991	NA	NA	NA	NA	148	NA	NA	NA
GL000220.1	52437	52673	Interval_70	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	4.87546	NA	NA	NA	NA	4.13489	NA	NA	NA	NA	7.28678	NA	NA	NA	NA	52437	NA	NA	NA	NA	52673	NA	NA	NA	NA	131	NA	NA
GL000220.1	101758	102213	Interval_71	5	5	TRUE	TRUE	TRUE	TRUE	TRUE	8.25237	10.1747	5.28175	19.3557	8.1886	9.99641	16.7709	5.02102	54.2764	10.7274	14.1423	20.6241	8.23979	59.3039	14.8851	101936	101850	101908	101758	101893	102170	102207	102196	102211	102213	129	265	158	346	214
GL000220.1	119500	120557	Interval_72	5	5	TRUE	TRUE	TRUE	TRUE	TRUE	21.7092	27.6818	24.6713	19.4108	23.6931	97.1975	241.34	102.419	105.662	143.644	102.904	247.325	107.933	110.964	149.365	119682	119646	119696	119520	119500	120318	120342	120557	120254	120287	199	236	183	363	383
GL000220.1	138026	138976	Interval_73	5	5	TRUE	TRUE	TRUE	TRUE	TRUE	12.5742	10.8532	13.241	13.6022	11.0117	46.3349	57.8191	68.1006	147.971	64.0403	51.7025	63.004	73.4063	153.451	69.4038	138093	138178	138104	138026	138108	138976	138890	138903	138975	138862	534	462	538	614	532
GL000220.1	141794	142479	Interval_74	5	5	TRUE	TRUE	TRUE	TRUE	TRUE	4.92428	10.6497	10.1824	13.4889	11.5134	9.59057	79.6451	51.6799	179.903	81.1853	13.696	85.0369	56.7493	185.484	86.646	142026	141908	141935	141794	141873	142258	142433	142261	142479	142433	103	215	188	327	255
GL000220.1	142728	143246	Interval_75	5	5	TRUE	TRUE	TRUE	TRUE	TRUE	4.11861	5.68865	7.36844	3.29117	8.30043	5.932	25.3619	29.3444	10.8077	46.1869	9.67402	29.59	33.736	14.6468	51.4043	142914	142860	142805	142842	142728	143226	143246	143241	143213	143223	240	294	112	312	195
GL000220.1	144752	146172	Interval_76	8	5	TRUE	TRUE	TRUE	TRUE	TRUE	5.88956	9.57939	4.83979;3.68196	8.50614;3.2193	4.48003;5.63923	9.65095	50.011	8.34529;3.89968	53.8566;6.27478	9.36312;14.6356	13.7626	55.0629	11.7702;7.02859	58.8798;9.78349	13.4015;19.0946	144797	144752	144782;145986	144780;145895	144802;145878	145325	146172	145270;146159	145351;146149	145252;146170	374	935	32;104	385;195	365;165
GL000221.1	19977	20204	Interval_77	1	1	FALSE	FALSE	FALSE	TRUE	FALSE	NA	NA	NA	4.22305	NA	NA	NA	NA	3.02559	NA	NA	NA	NA	6.23239	NA	NA	NA	NA	19977	NA	NA	NA	NA	20204	NA	NA	NA	NA	140	NA
GL000221.1	26586	26785	Interval_78	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	4.0943	NA	NA	NA	NA	2.07287	NA	NA	NA	NA	5.3187	NA	NA	NA	NA	26586	NA	NA	NA	NA	26785	NA	NA	NA	NA	160
GL000221.1	60248	60491	Interval_79	1	1	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	7.73368	NA	NA	NA	NA	9.64379	NA	NA	NA	NA	13.7068	NA	NA	NA	NA	60248	NA	NA	NA	NA	60491	NA	NA	NA	NA	157
GL000224.1	509	801	Interval_80	3	3	FALSE	FALSE	TRUE	TRUE	TRUE	NA	NA	4.83579	5.05568	4.05241	NA	NA	36.136	74.1687	26.0199	NA	NA	40.7785	79.3124	30.9873	NA	NA	529	509	560	NA	NA	785	801	764	NA	NA	146	169	119
GL000224.1	1277	1990	Interval_81	5	5	TRUE	TRUE	TRUE	TRUE	TRUE	3.18277	4.67246	4.53755	4.19382	4.8874	11.0219	24.6402	31.8146	50.0665	40.1906	15.2538	28.8375	36.3037	55.0652	45.3501	1387	1370	1287	1326	1277	1917	1967	1990	1905	1931	380	381	181	146	194
GL000224.1	2164	2522	Interval_82	5	5	TRUE	TRUE	TRUE	TRUE	TRUE	3.27193	3.37954	4.54215	4.18277	4.16702	12.5501	11.7745	36.1792	53.6779	31.566	16.9083	15.3851	40.8232	58.7003	36.6301	2198	2246	2191	2164	2198	2465	2456	2510	2522	2511	113	70	125	165	118
GL000224.1	3498	5191	Interval_83	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	6.15511	7.6074	7.1599;2.67315	7.19811	8.05114	60.7446	75.1325	100.273;10.7671	177.093	130.907	66.255	80.4956	105.776;14.3228	182.664	136.565	3633	3498	3531;4943	3606	3613	5089	4691	4685;5191	4718	4679	224	879	882;65	765	805
GL000224.1	6530	7042	Interval_84	4	4	FALSE	TRUE	TRUE	TRUE	TRUE	NA	3.58055	4.68273	3.24573	4.20656	NA	14.7305	40.3152	29.8563	32.816	NA	18.4897	45.097	34.5838	37.8975	NA	6564	6561	6554	6530	NA	6800	7042	6783	7012	NA	112	122	120	159
