# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-T" "6" "-p" "--donotsort" "-a" "consensus_peaks.mLb.clN.saf" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "UBR-18_R1.mLb.clN.bam" "UVR-11_R1.mLb.clN.bam" "UVR-14_R1.mLb.clN.bam" "PDR-4_R1.mLb.clN.bam" "DME-4_R1.mLb.clN.bam" 
Geneid	Chr	Start	End	Strand	Length	UBR-18_R1.mLb.clN.bam	UVR-11_R1.mLb.clN.bam	UVR-14_R1.mLb.clN.bam	PDR-4_R1.mLb.clN.bam	DME-4_R1.mLb.clN.bam
Interval_55	GL000218.1	18476	18762	+	287	24	20	10	8	11
Interval_56	GL000218.1	39704	40236	+	533	15	64	38	25	21
Interval_57	GL000218.1	57615	57835	+	221	5	21	15	11	7
Interval_58	GL000218.1	63102	63368	+	267	8	15	6	20	9
Interval_59	GL000218.1	83582	83882	+	301	10	18	9	12	9
Interval_60	GL000218.1	97365	97647	+	283	10	14	6	11	15
Interval_61	GL000219.1	40375	40608	+	234	6	4	6	16	7
Interval_62	GL000219.1	42449	42785	+	337	30	37	57	46	24
Interval_63	GL000219.1	80596	80783	+	188	4	1	5	10	2
Interval_64	GL000219.1	99268	100054	+	787	96	38	65	100	52
Interval_65	GL000219.1	107886	108085	+	200	5	5	6	14	2
Interval_66	GL000219.1	117145	117395	+	251	20	6	6	10	6
Interval_67	GL000219.1	178269	178718	+	450	25	33	19	16	9
Interval_68	GL000220.1	7288	7830	+	543	61	18	27	19	14
Interval_69	GL000220.1	21763	21991	+	229	6	7	2	11	2
Interval_70	GL000220.1	52437	52673	+	237	12	6	6	7	5
Interval_71	GL000220.1	101758	102213	+	456	13	54	17	22	15
Interval_72	GL000220.1	119500	120557	+	1058	131	170	186	309	123
Interval_73	GL000220.1	138026	138976	+	951	164	314	156	155	91
Interval_74	GL000220.1	141794	142479	+	686	82	245	121	124	30
Interval_75	GL000220.1	142728	143246	+	519	92	98	119	95	34
Interval_76	GL000220.1	144752	146172	+	1421	64	166	86	195	53
Interval_77	GL000221.1	19977	20204	+	228	7	12	6	5	7
Interval_78	GL000221.1	26586	26785	+	200	6	7	8	2	1
Interval_79	GL000221.1	60248	60491	+	244	5	6	17	9	8
Interval_80	GL000224.1	509	801	+	293	111	213	101	56	68
Interval_81	GL000224.1	1277	1990	+	714	216	313	218	150	120
Interval_82	GL000224.1	2164	2522	+	359	143	222	142	69	78
Interval_83	GL000224.1	3498	5191	+	1694	768	1168	765	526	496
Interval_84	GL000224.1	6530	7042	+	513	193	172	171	77	95
Interval_85	GL000224.1	8158	8507	+	350	155	218	136	116	86
Interval_86	GL000224.1	11157	11630	+	474	86	174	67	63	36
Interval_87	GL000224.1	16927	17142	+	216	30	35	43	23	22
Interval_88	GL000224.1	18614	19250	+	637	64	157	64	60	51
Interval_89	GL000224.1	161894	162512	+	619	11	27	18	13	7
Interval_90	GL000225.1	67274	67585	+	312	180	193	141	154	85
Interval_91	GL000225.1	99234	99456	+	223	35	64	34	38	18
Interval_92	GL000225.1	133699	133874	+	176	126	145	108	93	47
Interval_93	GL000226.1	1642	2273	+	632	30	27	22	18	21
Interval_94	GL000226.1	5092	6117	+	1026	34	68	58	43	39
Interval_95	GL000226.1	6476	7063	+	588	20	33	30	16	17
Interval_96	GL000226.1	9357	9786	+	430	8	38	23	13	20
Interval_97	GL000226.1	14152	14629	+	478	16	4	24	4	1
Interval_98	KI270320.1	195	433	+	239	9	0	0	8	2
Interval_99	KI270320.1	1914	2102	+	189	2	0	1	8	0
Interval_100	KI270322.1	8549	8777	+	229	14	0	1	5	5
Interval_101	KI270330.1	983	1638	+	656	143	196	95	87	63
Interval_102	KI270333.1	29	608	+	580	143	134	102	99	37
Interval_103	KI270333.1	1444	1663	+	220	56	57	44	39	32
Interval_104	KI270333.1	2065	2494	+	430	107	66	57	44	40
Interval_105	KI270336.1	689	992	+	304	110	107	71	77	46
Interval_106	KI270337.1	6	995	+	990	349	286	224	202	151
Interval_107	KI270422.1	841	1070	+	230	1	10	1	2	3
Interval_108	KI270435.1	1278	1489	+	212	6	12	5	5	4
Interval_109	KI270435.1	11292	11685	+	394	11	28	11	11	5
Interval_110	KI270435.1	91969	92235	+	267	15	22	10	15	9
Interval_111	KI270438.1	20807	21073	+	267	12	17	11	12	2
Interval_112	KI270438.1	21152	21750	+	599	16	27	28	17	12
Interval_113	KI270438.1	103892	104401	+	510	1235	1368	1006	1375	555
Interval_114	KI270438.1	104632	105007	+	376	707	777	607	855	226
Interval_115	KI270438.1	109196	110580	+	1385	3028	3567	2415	3450	1399
Interval_116	KI270438.1	111864	112440	+	577	936	1049	748	1086	422
Interval_117	KI270442.1	56426	56602	+	177	9	12	2	7	3
Interval_118	KI270442.1	187899	188186	+	288	10	20	10	3	5
Interval_119	KI270442.1	247618	248141	+	524	33	40	31	31	11
Interval_120	KI270442.1	391147	391365	+	219	16	26	13	12	10
Interval_121	KI270465.1	865	1690	+	826	20	43	35	10	7
Interval_122	KI270466.1	136	1147	+	1012	931	441	599	813	250
Interval_123	KI270467.1	2059	3865	+	1807	3400	1667	2456	3083	961
Interval_124	KI270507.1	266	733	+	468	9	29	13	8	6
Interval_125	KI270508.1	428	715	+	288	15	12	6	8	4
Interval_126	KI270508.1	957	1220	+	264	5	10	14	9	8
Interval_127	KI270508.1	1230	1435	+	206	13	16	7	8	3
Interval_128	KI270512.1	211	536	+	326	23	8	15	7	5
Interval_129	KI270515.1	1323	1792	+	470	21	28	10	13	12
Interval_130	KI270516.1	417	823	+	407	13	27	11	13	9
Interval_131	KI270517.1	2089	3009	+	921	30	34	30	20	14
Interval_132	KI270518.1	1385	1669	+	285	4	18	8	3	0
Interval_133	KI270538.1	53279	54134	+	856	38	53	26	22	32
Interval_134	KI270538.1	80793	81583	+	791	44	71	42	43	45
Interval_135	KI270538.1	83647	84280	+	634	23	38	20	20	17
Interval_136	KI270538.1	87005	87221	+	217	19	4	6	5	9
Interval_137	KI270538.1	87759	88055	+	297	17	8	8	6	9
Interval_138	KI270538.1	88740	89192	+	453	30	28	18	11	40
Interval_139	KI270538.1	89769	90002	+	234	7	20	9	6	6
Interval_140	KI270580.1	432	1187	+	756	22	25	23	17	15
Interval_141	KI270583.1	617	790	+	174	9	4	3	9	1
Interval_142	KI270583.1	982	1175	+	194	8	7	10	3	3
Interval_143	KI270584.1	2420	2799	+	380	6	22	6	9	3
Interval_144	KI270584.1	3617	4057	+	441	18	13	6	10	7
Interval_145	KI270588.1	1662	1846	+	185	9	7	3	9	3
Interval_146	KI270589.1	14731	15136	+	406	14	17	17	5	11
Interval_147	KI270590.1	2460	2700	+	241	9	17	14	8	6
Interval_148	KI270590.1	4359	4589	+	231	11	16	9	6	4
Interval_149	KI270591.1	4961	5279	+	319	22	21	15	17	16
Interval_150	KI270593.1	2217	2425	+	209	10	8	7	6	2
Interval_151	KI270706.1	63005	63211	+	207	4	8	3	10	2
Interval_152	KI270706.1	156016	156310	+	295	8	8	10	4	3
Interval_153	KI270706.1	165406	165646	+	241	20	42	16	12	10
Interval_154	KI270709.1	724	1024	+	301	25	70	29	26	25
Interval_155	KI270709.1	3512	4688	+	1177	189	551	181	174	134
Interval_156	KI270709.1	5502	5738	+	237	50	151	36	40	37
Interval_157	KI270709.1	6616	7815	+	1200	317	1042	309	207	270
Interval_158	KI270709.1	8303	8597	+	295	44	126	35	34	34
Interval_159	KI270709.1	10587	11094	+	508	43	190	47	53	45
Interval_160	KI270709.1	13570	14275	+	706	35	151	43	30	29
Interval_161	KI270711.1	8237	9868	+	1632	103	72	47	65	52
Interval_162	KI270711.1	24219	24943	+	725	37	11	20	12	10
Interval_163	KI270712.1	56281	56785	+	505	32	43	43	42	9
Interval_164	KI270712.1	58205	58516	+	312	52	47	25	27	9
Interval_165	KI270713.1	21112	22307	+	1196	160	166	57	174	50
Interval_166	KI270718.1	37395	37997	+	603	39	59	33	38	20
Interval_167	KI270719.1	138989	139233	+	245	5	15	3	4	6
Interval_168	KI270719.1	155157	155621	+	465	15	21	12	29	13
Interval_169	KI270719.1	174490	174884	+	395	12	27	15	25	8
Interval_170	KI270720.1	25986	26176	+	191	6	4	1	8	1
Interval_171	KI270722.1	60750	60960	+	211	6	17	5	5	2
Interval_172	KI270723.1	11244	11432	+	189	13	6	4	3	3
Interval_173	KI270723.1	29793	30001	+	209	3	5	16	3	3
Interval_174	KI270725.1	108856	109112	+	257	7	21	13	9	10
Interval_175	KI270727.1	13823	14163	+	341	1	14	3	5	6
Interval_176	KI270728.1	232632	232839	+	208	26	10	0	12	4
Interval_177	KI270728.1	1791406	1791631	+	226	28	29	13	22	10
Interval_178	KI270729.1	3025	3219	+	195	73	66	50	59	23
Interval_179	KI270729.1	3405	3628	+	224	81	58	57	56	16
Interval_180	KI270729.1	22472	22733	+	262	33	46	29	24	6
Interval_181	KI270729.1	23829	24308	+	480	38	63	41	39	19
Interval_182	KI270729.1	190165	190525	+	361	14	21	12	5	7
Interval_183	KI270732.1	1883	2294	+	412	9	12	10	18	5
Interval_184	KI270733.1	24364	25189	+	826	49	47	23	25	15
Interval_185	KI270733.1	122819	123333	+	515	12	49	15	29	13
Interval_186	KI270733.1	124119	124824	+	706	12	47	40	99	14
Interval_187	KI270733.1	129987	130303	+	317	37	123	21	33	3
Interval_188	KI270733.1	135029	135376	+	348	175	302	123	170	70
Interval_189	KI270733.1	135608	136181	+	574	133	473	200	158	105
Interval_190	KI270733.1	139959	140666	+	708	27	399	161	46	43
Interval_191	KI270733.1	141440	142408	+	969	88	534	171	310	123
Interval_192	KI270733.1	148584	149561	+	978	216	131	89	202	200
Interval_193	KI270733.1	151468	151651	+	184	62	32	17	51	53
Interval_194	KI270733.1	151843	152057	+	215	27	28	8	34	36
Interval_195	KI270733.1	155433	155732	+	300	40	22	62	46	39
Interval_196	KI270733.1	158365	159056	+	692	131	289	127	226	80
Interval_197	KI270733.1	160110	160470	+	361	56	133	51	90	41
Interval_198	KI270733.1	161938	162342	+	405	67	130	138	126	56
Interval_199	KI270733.1	162730	162918	+	189	41	46	20	56	6
Interval_200	KI270733.1	164965	165354	+	390	43	165	120	72	16
Interval_201	KI270733.1	167824	169174	+	1351	274	221	216	517	241
Interval_202	KI270733.1	172987	173326	+	340	65	173	55	103	21
Interval_203	KI270733.1	175073	175436	+	364	67	135	121	197	26
Interval_204	KI270735.1	1121	1625	+	505	7	33	16	13	5
Interval_205	KI270735.1	42106	42407	+	302	12	14	15	22	1
Interval_206	KI270736.1	156982	157388	+	407	48	33	23	26	11
Interval_207	KI270736.1	157718	158603	+	886	69	86	34	50	28
Interval_208	KI270736.1	166359	167445	+	1087	70	101	58	62	25
Interval_209	KI270741.1	101267	101643	+	377	5	19	6	8	0
Interval_210	KI270742.1	4081	4537	+	457	29	24	36	37	18
Interval_211	KI270742.1	13219	13408	+	190	18	29	10	20	4
Interval_212	KI270742.1	28400	28585	+	186	16	8	7	6	4
Interval_213	KI270742.1	29379	29601	+	223	12	12	9	16	10
Interval_214	KI270742.1	53017	53400	+	384	11	14	6	13	5
Interval_215	KI270742.1	68194	68398	+	205	14	5	0	1	2
Interval_216	KI270742.1	73893	74221	+	329	7	10	6	10	9
Interval_217	KI270742.1	92225	92422	+	198	8	6	2	5	0
Interval_218	KI270742.1	115793	115976	+	184	11	7	4	9	4
Interval_219	KI270742.1	185430	185627	+	198	1	6	8	6	6
Interval_220	KI270743.1	127705	127895	+	191	9	3	2	10	3
Interval_221	KI270743.1	150568	151151	+	584	16	54	8	14	4
Interval_222	KI270743.1	157852	158313	+	462	13	45	13	8	3
Interval_223	KI270743.1	160898	161105	+	208	14	11	2	1	0
Interval_224	KI270743.1	180188	180382	+	195	13	7	4	3	4
Interval_225	KI270743.1	181674	181959	+	286	9	16	8	3	7
Interval_226	KI270744.1	5909	6218	+	310	17	13	8	9	8
Interval_227	KI270744.1	11063	11513	+	451	85	21	76	13	191
Interval_228	KI270744.1	13300	13757	+	458	34	7	34	5	67
Interval_229	KI270744.1	16433	16819	+	387	12	23	11	11	7
Interval_230	KI270744.1	108112	108681	+	570	136	222	190	115	104
Interval_231	KI270744.1	108912	109160	+	249	66	104	83	43	44
Interval_232	KI270744.1	110754	111950	+	1197	290	441	391	190	222
Interval_233	KI270744.1	116727	117012	+	286	53	42	17	22	23
Interval_234	KI270744.1	119537	121002	+	1466	238	272	79	132	163
Interval_235	KI270744.1	122530	122807	+	278	58	54	26	30	44
Interval_236	KI270744.1	125058	125277	+	220	13	19	1	7	8
Interval_237	KI270744.1	127582	127779	+	198	14	5	7	2	1
Interval_238	KI270744.1	151746	152326	+	581	15	43	18	16	14
Interval_239	KI270744.1	156899	157191	+	293	7	17	4	11	9
Interval_240	KI270744.1	166159	166367	+	209	12	13	15	9	5
Interval_241	KI270746.1	22152	22485	+	334	21	16	12	9	5
Interval_242	KI270746.1	62367	62594	+	228	6	19	10	6	6
Interval_243	KI270749.1	66428	66658	+	231	1	5	11	3	0
Interval_244	KI270750.1	147	365	+	219	13	6	3	12	4
Interval_245	KI270750.1	81051	81259	+	209	2	10	14	10	8
Interval_246	KI270750.1	81638	81810	+	173	13	20	3	11	6
Interval_247	KI270751.1	104233	104498	+	266	8	12	13	14	11
Interval_248	KI270751.1	115695	115965	+	271	12	27	16	14	11
Interval_249	KI270751.1	140623	140838	+	216	17	31	13	16	13
Interval_250	KI270751.1	149883	150529	+	647	52	73	40	40	24
Interval_251	KI270753.1	42747	43276	+	530	10	22	5	6	7
Interval_252	KI270754.1	3247	3741	+	495	45	61	33	34	17
Interval_253	KI270754.1	14892	15072	+	181	20	28	8	22	14
Interval_254	KI270754.1	15847	16453	+	607	47	50	20	19	29
Interval_255	KI270754.1	18080	18322	+	243	19	38	22	38	16
Interval_256	KI270754.1	19389	19780	+	392	52	38	13	8	25
Interval_257	KI270754.1	21010	21219	+	210	9	10	8	11	8
Interval_258	KI270754.1	28010	28223	+	214	9	14	10	2	1
Interval_259	KI270754.1	32769	33090	+	322	12	19	8	13	15
Interval_260	KI270754.1	34210	35558	+	1349	48	141	15	12	18
Interval_261	KI270754.1	35796	36284	+	489	45	101	40	58	26
Interval_262	KI270754.1	39159	39834	+	676	80	102	25	53	75
Interval_263	KI270757.1	52107	52752	+	646	20	29	15	21	11
Interval_264	chr1	16281	16538	+	258	4	9	10	3	3
Interval_265	chr1	87748	88015	+	268	13	12	6	8	0
Interval_266	chr1	190920	191172	+	253	3	10	11	4	3
Interval_267	chr1	191242	191959	+	718	23	37	17	20	14
Interval_268	chr1	268234	268543	+	310	4	5	5	3	9
Interval_269	chr1	629087	629337	+	251	1832	1791	2	1	2
Interval_270	chr1	633864	634160	+	297	2197	2203	1759	2309	1464
Interval_271	chr1	778396	779083	+	688	74	50	38	48	22
Interval_272	chr1	827101	827799	+	699	33	37	25	50	21
Interval_273	chr1	1013377	1013579	+	203	22	12	13	16	7
Interval_274	chr1	1115904	1116465	+	562	78	77	50	71	33
Interval_275	chr1	1231945	1232174	+	230	56	35	27	23	19
Interval_276	chr1	1324457	1324751	+	295	22	12	10	9	10
Interval_277	chr1	1375259	1375593	+	335	47	50	20	33	18
Interval_278	chr1	1399333	1399663	+	331	67	44	31	61	32
Interval_279	chr1	1471602	1471792	+	191	16	19	13	18	7
Interval_280	chr1	1511747	1512209	+	463	25	32	19	23	10
Interval_281	chr1	1574797	1575222	+	426	18	17	6	10	12
Interval_282	chr1	1615242	1615839	+	598	53	44	37	33	40
Interval_283	chr1	1658950	1659372	+	423	39	24	17	20	18
Interval_284	chr1	1692481	1693416	+	936	81	56	35	70	42
Interval_285	chr1	1724256	1724780	+	525	65	33	23	15	16
Interval_286	chr1	1745744	1746754	+	1011	97	44	42	39	24
Interval_287	chr1	1780254	1780622	+	369	20	26	11	21	9
Interval_288	chr1	1919287	1919745	+	459	69	67	41	73	27
Interval_289	chr1	2133087	2133682	+	596	67	59	30	52	29
Interval_290	chr1	2151222	2151463	+	242	9	15	6	4	3
Interval_291	chr1	2189487	2189842	+	356	38	40	8	22	16
Interval_292	chr1	2194838	2195398	+	561	39	24	20	45	22
Interval_293	chr1	2227736	2227926	+	191	28	36	21	28	14
Interval_294	chr1	2255782	2256307	+	526	41	30	28	41	26
Interval_295	chr1	2300602	2301298	+	697	58	59	34	59	35
Interval_296	chr1	2391503	2391838	+	336	55	53	26	61	32
Interval_297	chr1	2412548	2412859	+	312	36	37	26	44	12
Interval_298	chr1	2546301	2546501	+	201	32	21	13	26	8
Interval_299	chr1	2546709	2547071	+	363	28	28	21	25	7
Interval_300	chr1	2556244	2556535	+	292	8	8	13	13	11
Interval_301	chr1	2577981	2578179	+	199	12	4	5	2	2
Interval_302	chr1	2586382	2586643	+	262	35	44	19	28	18
Interval_303	chr1	2642926	2643331	+	406	39	22	28	27	16
Interval_304	chr1	2653764	2654170	+	407	34	38	64	63	24
Interval_305	chr1	2657993	2658232	+	240	22	51	0	15	16
Interval_306	chr1	2659878	2660115	+	238	23	47	6	11	8
Interval_307	chr1	2671775	2672041	+	267	15	34	8	13	10
Interval_308	chr1	2682859	2683072	+	214	10	35	0	6	8
Interval_309	chr1	2683973	2684357	+	385	15	22	45	12	23
Interval_310	chr1	3624492	3625011	+	520	70	34	36	34	28
Interval_311	chr1	3796429	3796785	+	357	40	28	16	30	19
Interval_312	chr1	3857149	3857685	+	537	44	41	45	46	18
Interval_313	chr1	3900395	3901396	+	1002	210	127	108	155	75
Interval_314	chr1	5992110	5992883	+	774	102	74	62	85	51
Interval_315	chr1	6028201	6028480	+	280	22	21	13	9	3
Interval_316	chr1	6199512	6199845	+	334	66	45	31	62	24
Interval_317	chr1	6348576	6348933	+	358	12	13	11	16	6
Interval_318	chr1	6393352	6394071	+	720	61	48	27	46	30
Interval_319	chr1	6462255	6462475	+	221	6	10	12	2	2
Interval_320	chr1	6579701	6580055	+	355	36	30	26	34	23
Interval_321	chr1	6602657	6603401	+	745	34	35	44	69	24
Interval_322	chr1	6603584	6603760	+	177	14	6	8	9	6
Interval_323	chr1	6613340	6613731	+	392	87	70	40	68	34
Interval_324	chr1	6701686	6701975	+	290	29	25	16	23	6
Interval_325	chr1	6784745	6785436	+	692	200	152	96	183	90
Interval_326	chr1	7072568	7072962	+	395	24	11	4	4	3
Interval_327	chr1	7770804	7771506	+	703	19	29	11	29	12
Interval_328	chr1	7783864	7784228	+	365	43	57	23	56	28
Interval_329	chr1	7954174	7954366	+	193	15	12	3	15	5
Interval_330	chr1	7961230	7961859	+	630	104	67	49	82	46
Interval_331	chr1	8026218	8026465	+	248	33	17	16	17	12
Interval_332	chr1	8152686	8153620	+	935	38	26	14	47	16
Interval_333	chr1	8424546	8424722	+	177	10	5	6	5	3
Interval_334	chr1	8525824	8526166	+	343	29	47	29	20	11
Interval_335	chr1	8878407	8879213	+	807	80	71	47	65	37
Interval_336	chr1	9234255	9234660	+	406	23	22	14	11	5
Interval_337	chr1	9428825	9429115	+	291	33	34	30	28	13
Interval_338	chr1	9539185	9539493	+	309	48	27	21	27	18
Interval_339	chr1	9588392	9588773	+	382	30	39	30	28	14
Interval_340	chr1	9627120	9627434	+	315	23	29	10	19	10
Interval_341	chr1	9629973	9630284	+	312	8	13	7	9	13
Interval_342	chr1	9717514	9717822	+	309	22	22	21	36	13
Interval_343	chr1	9900564	9900862	+	299	12	18	13	9	4
Interval_344	chr1	9910200	9911169	+	970	151	104	87	157	76
Interval_345	chr1	9943155	9943459	+	305	26	14	7	15	5
Interval_346	chr1	10032604	10033359	+	756	84	66	59	81	39
Interval_347	chr1	10210138	10210554	+	417	54	44	27	26	29
Interval_348	chr1	10398598	10399412	+	815	84	72	41	68	40
Interval_349	chr1	10430313	10430776	+	464	36	19	18	10	7
Interval_350	chr1	10472342	10472682	+	341	32	16	18	27	20
Interval_351	chr1	10494846	10495339	+	494	21	13	10	22	8
Interval_352	chr1	10525252	10525555	+	304	16	5	7	13	10
Interval_353	chr1	11012309	11013105	+	797	54	57	32	53	32
Interval_354	chr1	11060033	11060469	+	437	61	36	25	44	14
Interval_355	chr1	11099452	11100119	+	668	27	20	15	29	9
Interval_356	chr1	11241641	11241845	+	205	12	5	6	3	0
Interval_357	chr1	11262507	11262852	+	346	82	70	47	85	28
Interval_358	chr1	11273156	11273645	+	490	35	33	23	16	13
Interval_359	chr1	11462078	11462277	+	200	5	1	2	10	3
Interval_360	chr1	11650435	11650633	+	199	19	17	25	22	16
Interval_361	chr1	11680859	11681590	+	732	35	30	22	34	19
Interval_362	chr1	11719333	11719978	+	646	52	40	23	24	21
Interval_363	chr1	11805739	11806425	+	687	77	63	47	81	41
Interval_364	chr1	11907825	11909099	+	1275	179	75	64	118	38
Interval_365	chr1	11909603	11910136	+	534	34	15	18	33	6
Interval_366	chr1	11926416	11926745	+	330	20	15	14	20	18
Interval_367	chr1	11979937	11980503	+	567	60	45	43	57	29
Interval_368	chr1	12019185	12019613	+	429	68	62	33	65	47
Interval_369	chr1	12177899	12178374	+	476	30	13	21	48	31
Interval_370	chr1	12208811	12209034	+	224	6	10	4	13	5
Interval_371	chr1	12229985	12230476	+	492	28	20	8	24	10
Interval_372	chr1	12620030	12620343	+	314	12	17	6	14	3
Interval_373	chr1	12933340	12933549	+	210	7	6	9	2	3
Interval_374	chr1	13105136	13105318	+	183	12	5	6	8	6
Interval_375	chr1	13224702	13225062	+	361	14	21	11	14	6
Interval_376	chr1	13246316	13246541	+	226	5	17	11	7	2
Interval_377	chr1	13749176	13749436	+	261	35	22	18	28	18
Interval_378	chr1	15345986	15346179	+	194	8	13	6	12	4
Interval_379	chr1	15409493	15409846	+	354	15	14	11	23	13
Interval_380	chr1	15412113	15412329	+	217	9	9	6	17	13
Interval_381	chr1	15524433	15524794	+	362	32	23	30	37	14
Interval_382	chr1	15526580	15527020	+	441	67	47	47	56	28
Interval_383	chr1	15603558	15603755	+	198	22	10	15	21	10
Interval_384	chr1	15617166	15617749	+	584	43	53	28	45	23
Interval_385	chr1	15834376	15835034	+	659	45	27	29	54	22
Interval_386	chr1	15835776	15836153	+	378	42	40	23	27	18
Interval_387	chr1	15847409	15847783	+	375	51	37	31	52	15
Interval_388	chr1	15949610	15949900	+	291	24	15	20	30	17
Interval_389	chr1	15975922	15976214	+	293	25	14	13	15	10
Interval_390	chr1	16138885	16139077	+	193	11	4	2	3	1
Interval_391	chr1	16159770	16160076	+	307	15	0	3	1	3
Interval_392	chr1	16206621	16207127	+	507	64	48	30	52	33
Interval_393	chr1	16352256	16352785	+	530	31	26	23	45	5
Interval_394	chr1	16366950	16367899	+	950	93	89	52	90	48
Interval_395	chr1	16420885	16421144	+	260	6	8	2	14	5
Interval_396	chr1	16498896	16499283	+	388	24	7	14	10	5
Interval_397	chr1	16513560	16514003	+	444	28	15	21	20	13
Interval_398	chr1	16514096	16514561	+	466	34	26	20	30	12
Interval_399	chr1	16589184	16589369	+	186	10	5	1	1	1
Interval_400	chr1	16613350	16613855	+	506	47	41	19	25	13
Interval_401	chr1	16644506	16644960	+	455	50	37	38	44	26
Interval_402	chr1	16709712	16709972	+	261	15	10	6	7	6
Interval_403	chr1	16759137	16759328	+	192	10	9	7	11	2
Interval_404	chr1	16765354	16765567	+	214	5	9	0	10	3
Interval_405	chr1	16796344	16797016	+	673	15	30	6	13	7
Interval_406	chr1	16872700	16872884	+	185	15	7	9	7	6
Interval_407	chr1	16889146	16889499	+	354	20	10	20	7	8
Interval_408	chr1	16895661	16896741	+	1081	141	51	80	85	44
