Geneid	Chr	Start	End	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UBR.18_R1.mLb.clN.bam.raw	PDR.4_R1.mLb.clN.bam.raw	UBR.18_R1.mLb.clN.bam.pseudo	PDR.4_R1.mLb.clN.bam.pseudo
Interval_316	chr1	6199512	6199845	+	334	42.4672415696507	-0.021825743326086	0.81798363994964	-0.026682371456023	0.978713073667061	1	66	62	48.5300008547181	49.2697665861118
Interval_317	chr1	6348576	6348933	+	358	11.1343041534501	-0.527060322953093	1.67880595573253	-0.313949519391069	0.753559379306535	1	12	16	8.82363651903966	12.7147784738353
Interval_318	chr1	6393352	6394071	+	720	40.6007246896109	0.295151711741556	0.852118089562767	0.346374188456675	0.729061520559529	1	61	46	44.8534856384516	36.5549881122765
Interval_319	chr1	6462255	6462475	+	221	6.5036196982691	1.47293440355476	2.43885775441745	0.603944367352655	0.545880629954206	1	6	2	4.41181825951983	1.58934730922941
Interval_320	chr1	6579701	6580055	+	355	29.4348768483469	-0.029561386343027	1.01647038209109	-0.0290823882956757	0.976798881961164	1	36	34	26.470909557119	27.0189042569
Interval_321	chr1	6602657	6603401	+	745	40.2773134505174	-1.13308472994816	0.887105155069289	-1.27728344658267	0.201502195582266	1	34	69	25.0003034706124	54.8324821684147
Interval_322	chr1	6603584	6603760	+	177	8.351809837033	0.52540535509412	1.94180737481736	0.270575424683171	0.786717599235653	1	14	9	10.2942426055463	7.15206289153236
Interval_323	chr1	6613340	6613731	+	392	56.2014398541894	0.243457033281141	0.713556759191722	0.341188041658964	0.732962025141856	1	87	68	63.9713647630375	54.0378085138
Interval_324	chr1	6701686	6701975	+	290	18.0790714162601	0.222395308253946	1.30960655209012	0.169818414468838	0.865152944620605	1	29	23	21.3237882543458	18.2774940561382
Interval_325	chr1	6784745	6785436	+	692	136.516707981169	0.0161327884352785	0.580326647859683	0.0277994961885316	0.977822067791839	1	200	183	147.060608650661	145.425278794491
Interval_326	chr1	7072568	7072962	+	395	8.00622239272251	2.47293404939836	2.0487760614579	1.20702994139761	0.227420613328882	1	24	4	17.6472730380793	3.17869461845882
Interval_327	chr1	7770804	7771506	+	703	18.9065224727718	-0.722076412682989	1.31838240783094	-0.54769876205416	0.583898762298271	1	19	29	13.9707578218128	23.0455359838265
Interval_328	chr1	7783864	7784228	+	365	39.5358606751552	-0.493113527933273	0.894981109711806	-0.550976464846348	0.581649808258732	1	43	56	31.6180308598921	44.5017246584235
Interval_329	chr1	7954174	7954366	+	193	8.98271037837105	-0.11202336145177	1.88467948905635	-0.0594389455089043	0.952602493848565	1	15	15	11.0295456487996	11.9201048192206
Interval_330	chr1	7961230	7961859	+	630	66.3037773512392	0.230864103791237	0.653250436027009	0.353408265894662	0.723782389850026	1	104	82	76.4715164983437	65.1632396784059
Interval_331	chr1	8026218	8026465	+	248	18.1610845442753	0.844906978523542	1.32038214599745	0.639895791596968	0.522240350083689	1	33	17	24.2650004273591	13.50945212845
Interval_332	chr1	8152686	8153620	+	935	26.0014675429515	-0.418684658922059	1.07899278410909	-0.388032862766326	0.697991714296034	1	38	47	27.9415156436256	37.3496617668912
Interval_333	chr1	8424546	8424722	+	177	5.53601755723307	0.887973634245646	2.50627821898217	0.354299705244322	0.723114288622654	1	10	5	7.35303043253305	3.97336827307353
Interval_334	chr1	8525824	8526166	+	343	26.1923647447739	0.424029086158103	1.10126262894559	0.385039022493748	0.700208504393734	1	29	20	21.3237882543458	15.8934730922941
Interval_335	chr1	8878407	8879213	+	807	57.5045843827503	0.187536674858333	0.702406294231583	0.266991734553709	0.789475525038593	1	80	65	58.8242434602644	51.6537875499559
Interval_336	chr1	9234255	9234660	+	406	13.9642859724759	0.952105734321685	1.52303044852599	0.625139001812569	0.531879832121546	1	23	11	16.911969994826	8.74141020076177
Interval_337	chr1	9428825	9429115	+	291	26.6237909122028	0.125015566744831	1.07672889302799	0.1161068190464	0.90756788455072	1	33	28	24.2650004273591	22.2508623292118
Interval_338	chr1	9539185	9539493	+	309	26.7932297309577	0.718051030879065	1.06419711124496	0.67473499344407	0.499844147774353	1	48	27	35.2945460761586	21.4561886745971
Interval_339	chr1	9588392	9588773	+	382	27.3732279060558	-0.0124878796578271	1.06154036400061	-0.0117639235221958	0.990613963536443	1	30	28	22.0590912975991	22.2508623292118
Interval_340	chr1	9627120	9627434	+	315	17.0428606622171	0.163610722910527	1.39929029476626	0.116924074670193	0.906920220175844	1	23	19	16.911969994826	15.0987994376794
Interval_341	chr1	9629973	9630284	+	312	10.6261247875662	-0.281948065533513	1.76909653312006	-0.159374042204615	0.873374188820594	1	8	9	5.88242434602644	7.15206289153236
Interval_342	chr1	9717514	9717822	+	309	21.9713586168377	-0.822516360345651	1.19387536229962	-0.688946590506178	0.490856878621667	1	22	36	16.1766669515727	28.6082515661294
Interval_343	chr1	9900564	9900862	+	299	10.7708378951678	0.303013504085072	1.72689606512898	0.175467134475427	0.860712593006483	1	12	9	8.82363651903966	7.15206289153236
Interval_344	chr1	9910200	9911169	+	970	110.194984822006	-0.168239541660265	0.5801600089548	-0.289988174061429	0.771825284805389	1	151	157	111.030759531249	124.763763774509
Interval_345	chr1	9943155	9943459	+	305	11.926865344983	0.681524725622255	1.61824935852916	0.421149387163482	0.673646000063252	1	26	15	19.1178791245859	11.9201048192206
Interval_346	chr1	10032604	10033359	+	756	63.2958794230026	-0.0595561269087514	0.674457142464843	-0.0883023147936429	0.929636399205264	1	84	81	61.7654556332776	64.3685660237912
Interval_347	chr1	10210138	10210554	+	417	35.3782063023683	0.942423789298553	0.929743657357533	1.01363830970039	0.310755370512246	1	54	26	39.7063643356785	20.6615150199824
Interval_348	chr1	10398598	10399412	+	815	58.2133426350211	0.192830972809461	0.703595756439289	0.274065002588031	0.784034668344782	1	84	68	61.7654556332776	54.0378085138
Interval_349	chr1	10430313	10430776	+	464	16.7815753914395	1.73597170354019	1.40010553810917	1.23988632020169	0.215017444378375	1	36	10	26.470909557119	7.94673654614706
Interval_350	chr1	10472342	10472682	+	341	22.3903548528383	0.133088837743189	1.18911348618747	0.111922738484699	0.910884667174372	1	32	27	23.5296973841058	21.4561886745971
Interval_351	chr1	10494846	10495339	+	494	13.78699012862	-0.179137554923129	1.50567617762354	-0.118974821801237	0.905295303367977	1	21	22	15.4413639083194	17.4828204015235
Interval_352	chr1	10525252	10525555	+	304	10.1000273020788	0.187536413464349	1.76665341262737	0.106153483260446	0.915460577316553	1	16	13	11.7648486920529	10.3307575099912
Interval_353	chr1	11012309	11013105	+	797	44.1064239339299	-0.085056484629763	0.81683955158365	-0.104128753884235	0.917067172587557	1	54	53	39.7063643356785	42.1177036945794
Interval_354	chr1	11060033	11060469	+	437	32.7288424738871	0.359282010252254	0.942953071885171	0.38101791166974	0.703189957669336	1	61	44	44.8534856384516	34.9656408030471
Interval_355	chr1	11099452	11100119	+	668	18.54251640032	-0.215116878124266	1.28818626562594	-0.166992059971808	0.867376296426345	1	27	29	19.8531821678392	23.0455359838265
Interval_356	chr1	11241641	11241845	+	205	4.58370252691032	1.88796994108175	3.01570648318862	0.626045655174482	0.531284995999827	1	12	3	8.82363651903966	2.38402096384412
Interval_357	chr1	11262507	11262852	+	346	58.0154805496001	-0.163862453008855	0.693615862476276	-0.236243808530921	0.813243487122415	1	82	85	60.294849546771	67.54726064225
Interval_358	chr1	11273156	11273645	+	490	23.1298891623226	1.01725874455094	1.17355785145785	0.866816018730778	0.38604282375744	1	35	16	25.7356065138657	12.7147784738353
Interval_359	chr1	11462078	11462277	+	200	3.91646127398824	-1.11201774834057	3.22122041879505	-0.345216285682351	0.729931776297194	1	5	10	3.67651521626652	7.94673654614706
Interval_360	chr1	11650435	11650633	+	199	20.326610434167	-0.32352738648182	1.29002221515724	-0.25079210472541	0.801974846061011	1	19	22	13.9707578218128	17.4828204015235
Interval_361	chr1	11680859	11681590	+	732	27.0756775436888	-0.0702033457013844	1.05781945443598	-0.0663660943339486	0.947086363470709	1	35	34	25.7356065138657	27.0189042569
Interval_362	chr1	11719333	11719978	+	646	30.6111106332064	1.00345313977314	1.00288862074849	1.00056289304014	0.317038177257489	1	52	24	38.2357582491719	19.072167710753
Interval_363	chr1	11805739	11806425	+	687	59.4346928066634	-0.185086978680837	0.68811046637666	-0.268978583708279	0.787946163250453	1	77	81	56.6183343305045	64.3685660237912
Interval_364	chr1	11907825	11909099	+	1275	85.641235891599	0.489149085833046	0.597034201574419	0.819298265565235	0.41261626191254	1	179	118	131.619244742342	93.7714912445353
Interval_365	chr1	11909603	11910136	+	534	19.1285534771366	-0.0689547794943461	1.27785275141316	-0.0539614438503107	0.956965882811461	1	34	33	25.0003034706124	26.2242306022853
Interval_366	chr1	11926416	11926745	+	330	17.7437709488388	-0.112023459088328	1.34424785878983	-0.0833354193989029	0.933584837624671	1	20	20	14.7060608650661	15.8934730922941
Interval_367	chr1	11979937	11980503	+	567	45.2599645176717	-0.0380229666914356	0.803743328350837	-0.047307349685195	0.962268270441222	1	60	57	44.1181825951983	45.2963983130383
Interval_368	chr1	12019185	12019613	+	429	53.8399321249601	-0.0469285201375547	0.73794363558875	-0.0635936376090755	0.949293797941752	1	68	65	50.0006069412247	51.6537875499559
Interval_369	chr1	12177899	12178374	+	476	29.0404871676054	-0.790094994890222	1.06935307218508	-0.738853251972023	0.459996111621303	1	30	48	22.0590912975991	38.1443354215059
Interval_370	chr1	12208811	12209034	+	224	7.23236922759343	-1.22749795882581	2.12912098752963	-0.576528044209479	0.564258319812255	1	6	13	4.41181825951983	10.3307575099912
Interval_371	chr1	12229985	12230476	+	492	16.4998387317516	0.110368758018584	1.39460272619726	0.0791399270525825	0.936921325892565	1	28	24	20.5884852110925	19.072167710753
Interval_372	chr1	12620030	12620343	+	314	9.37518309175023	-0.33441544736096	1.83247522393008	-0.182493843842398	0.855195185142643	1	12	14	8.82363651903966	11.1254311646059
Interval_373	chr1	12933340	12933549	+	210	5.52478808631537	1.69532485989461	2.6565506910979	0.638167705805744	0.523364516842798	1	7	2	5.14712130277313	1.58934730922941
Interval_374	chr1	13105136	13105318	+	183	7.2355097530814	0.472937855711922	2.10708829831191	0.224450895622559	0.822406471755147	1	12	8	8.82363651903966	6.35738923691765
Interval_375	chr1	13224702	13225062	+	361	12.5203104015117	-0.112023415495167	1.60613486045493	-0.069747203832832	0.944394870010481	1	14	14	10.2942426055463	11.1254311646059
Interval_376	chr1	13246316	13246541	+	226	8.14125551318783	-0.597449221448183	2.03013997811505	-0.294289668637974	0.768536566533801	1	5	7	3.67651521626652	5.56271558230294
Interval_377	chr1	13749176	13749436	+	261	23.4287427553158	0.209904393451914	1.14558627641282	0.183228795398274	0.854618501358907	1	35	28	25.7356065138657	22.2508623292118
Interval_378	chr1	15345986	15346179	+	194	8.07371621092464	-0.696984705149598	1.98088890555627	-0.351854515008186	0.72494737232608	1	8	12	5.88242434602644	9.53608385537648
Interval_379	chr1	15409493	15409846	+	354	15.0309042409209	-0.728694120215341	1.45874541764447	-0.499534813546842	0.617402667577579	1	15	23	11.0295456487996	18.2774940561382
Interval_380	chr1	15412113	15412329	+	217	11.0962735852215	-1.0295597841128	1.70063883230962	-0.605395904499348	0.544915971620708	1	9	17	6.61772738927974	13.50945212845
Interval_381	chr1	15524433	15524794	+	362	26.2782527164511	-0.321476732757248	1.10351155490774	-0.291321582748743	0.770805382303136	1	32	37	23.5296973841058	29.4029252207441
Interval_382	chr1	15526580	15527020	+	441	47.1474200568319	0.14671066296751	0.789353373359427	0.18586183060588	0.852553115358373	1	67	56	49.2653038979714	44.5017246584235
Interval_383	chr1	15603558	15603755	+	198	15.0830646558514	-0.0449093152223005	1.47626742059074	-0.0304208536989386	0.975731413704481	1	22	21	16.1766669515727	16.6881467469088
Interval_384	chr1	15617166	15617749	+	584	36.7526521394483	-0.177611828773493	0.907128935688127	-0.195795571925793	0.844770176086249	1	43	45	31.6180308598921	35.7603144576618
Interval_385	chr1	15834376	15835034	+	659	33.8294739842356	-0.375057800012884	0.944654101239196	-0.397031886614247	0.691343946885728	1	45	54	33.0886369463987	42.9123773491941
Interval_386	chr1	15835776	15836153	+	378	28.6887419536904	0.525406075699834	1.03479901048469	0.507737319398613	0.611637572702935	1	42	27	30.8827278166388	21.4561886745971
Interval_387	chr1	15847409	15847783	+	375	34.4765302807206	-0.140037877891788	0.920121067886542	-0.152195056476041	0.879033092905018	1	51	52	37.5004552059185	41.3230300399647
Interval_388	chr1	15949610	15949900	+	291	21.0729129031994	-0.43395131453915	1.24167746672551	-0.34948795171708	0.726723014419612	1	24	30	17.6472730380793	23.8402096384412
Interval_389	chr1	15975922	15976214	+	293	14.7884905184173	0.624941354393001	1.46983812349172	0.425176993578315	0.670707654153124	1	25	15	18.3825760813326	11.9201048192206
Interval_390	chr1	16138885	16139077	+	193	3.59589522030683	1.76243593363036	3.43256764634394	0.513445360795016	0.607639822165257	1	11	3	8.08833347578635	2.38402096384412
Interval_391	chr1	16159770	16160076	+	307	4.02394788268837	3.7948399734517	3.68749140447168	1.0291115441923	0.303427262023715	1	15	1	11.0295456487996	0.794673654614706
Interval_392	chr1	16206621	16207127	+	507	43.6546189231061	0.187536657823867	0.813380962991253	0.23056435588828	0.817653261409702	1	64	52	47.0593947682115	41.3230300399647
Interval_393	chr1	16352256	16352785	+	530	23.4410406480463	-0.649679965435607	1.13735442638299	-0.571220325313821	0.567850302125822	1	31	45	22.7943943408525	35.7603144576618
Interval_394	chr1	16366950	16367899	+	950	71.1839951182121	-0.0647178323031657	0.643271562685197	-0.100607326761057	0.919862180306807	1	93	90	68.3831830225574	71.5206289153236
Interval_395	chr1	16420885	16421144	+	260	6.55184051121326	-1.33441247972632	2.28169915600897	-0.584832788412124	0.558660155112254	1	6	14	4.41181825951983	11.1254311646059
Interval_396	chr1	16498896	16499283	+	388	11.3091221765669	1.15100921624714	1.72057483263831	0.66896783238553	0.503515997943805	1	24	10	17.6472730380793	7.94673654614706
Interval_397	chr1	16513560	16514003	+	444	19.0772313929442	0.373402940578704	1.31250026211202	0.284497421720771	0.776029209612639	1	28	20	20.5884852110925	15.8934730922941
Interval_398	chr1	16514096	16514561	+	466	22.9343201074093	0.0685486427785232	1.15430209034021	0.0593853579164184	0.952645175166404	1	34	30	25.0003034706124	23.8402096384412
Interval_399	chr1	16589184	16589369	+	186	3.06367204931029	3.20987854411	4.11634203483963	0.779789074120285	0.4355150384787	1	10	1	7.35303043253305	0.794673654614706
Interval_400	chr1	16613350	16613855	+	506	26.7607338887402	0.798708646591579	1.08457094275849	0.736428217927499	0.461470137237025	1	47	25	34.5592430329053	19.8668413653677
Interval_401	chr1	16644506	16644960	+	455	38.1673235904035	0.0724009811222155	0.889799283194136	0.0813677674163951	0.935149481964857	1	50	44	36.7651521626652	34.9656408030471
Interval_402	chr1	16709712	16709972	+	261	8.39885340598935	0.987510209098077	1.93468959689527	0.510423072870606	0.609755095796806	1	15	7	11.0295456487996	5.56271558230294
Interval_403	chr1	16759137	16759328	+	192	7.12849333922355	-0.249526555899774	2.10211554196996	-0.118702588377199	0.905510985820824	1	10	11	7.35303043253305	8.74141020076177
Interval_404	chr1	16765354	16765567	+	214	4.83919094244293	-1.11201827992775	3.09501791934814	-0.359293002142604	0.719375908802561	1	5	10	3.67651521626652	7.94673654614706
Interval_405	chr1	16796344	16797016	+	673	13.1863702849687	0.0944271867822481	1.65822191164242	0.0569448432198805	0.95458913252093	1	15	13	11.0295456487996	10.3307575099912
Interval_406	chr1	16872700	16872884	+	185	8.60073270748934	0.987510226315658	1.92565774943352	0.51281710189994	0.608079265659141	1	15	7	11.0295456487996	5.56271558230294
Interval_407	chr1	16889146	16889499	+	354	13.1623747421557	1.4025475948324	1.65897245496295	0.845431514330795	0.397869955274824	1	20	7	14.7060608650661	5.56271558230294
Interval_408	chr1	16895661	16896741	+	1081	76.3321553293669	0.618136709269627	0.695440618840661	0.888841825632929	0.374088093848154	1	141	85	103.677729098716	67.54726064225
Interval_409	chr1	16904519	16905243	+	725	75.8429788392859	0.657856522744629	0.65400531036876	1.00588865612375	0.314469133679466	1	133	78	97.7953047526895	61.9845450599471
Interval_410	chr1	17054018	17054334	+	317	55.3932071032404	0.291873304469612	0.717260050115978	0.406928148894418	0.684060760934521	1	86	65	63.2360617197842	51.6537875499559
Interval_411	chr1	18161109	18161311	+	203	5.47743179232754	-0.112023199028618	2.51694125763435	-0.0445076732279036	0.964499735688331	1	7	7	5.14712130277313	5.56271558230294
Interval_412	chr1	18902458	18902974	+	517	51.9278426214536	0.481656020625223	0.751226655136529	0.64115938556212	0.521419134135739	1	83	55	61.0301525900243	43.7070510038088
Interval_413	chr1	18956567	18957023	+	457	38.4065595915872	0.168084292539419	0.876848772730359	0.191691312991216	0.847984011028654	1	51	42	37.5004552059185	33.3762934938177
Interval_414	chr1	19210006	19210597	+	592	34.1893217051841	0.170376093907731	0.934986403593653	0.182223071108719	0.855407667973435	1	45	37	33.0886369463987	29.4029252207441
Interval_415	chr1	19251496	19251816	+	321	22.7671198486207	-0.170917128291229	1.17796070184677	-0.145095781228754	0.884635249133804	1	24	25	17.6472730380793	19.8668413653677
Interval_416	chr1	19345685	19345876	+	192	5.19435548486643	3.0578895887301	2.78230580839256	1.09904870252086	0.271746823223445	1	18	2	13.2354547785595	1.58934730922941
Interval_417	chr1	19463310	19463498	+	189	11.3866005289538	-0.996544907025512	1.72087687557907	-0.579091346491701	0.562527538686863	1	13	24	9.55893956229296	19.072167710753
Interval_418	chr1	19485582	19485956	+	375	22.2832447141994	-0.0689547891843717	1.16782445591923	-0.0590455087961789	0.952915860540142	1	34	33	25.0003034706124	26.2242306022853
Interval_419	chr1	19596705	19597723	+	1019	35.73398616871	0.489426834738245	0.922871188751418	0.53033060377625	0.595882731559104	1	44	29	32.3533339031454	23.0455359838265
Interval_420	chr1	19688303	19688554	+	252	8.41754122326281	-0.112023335894105	1.97264855327996	-0.0567882888758067	0.954713843006978	1	7	7	5.14712130277313	5.56271558230294
Interval_421	chr1	19882218	19882507	+	290	36.6075092768448	0.222395391037905	0.891851591513183	0.249363675699195	0.803079480382465	1	58	46	42.6475765086917	36.5549881122765
Interval_422	chr1	20507782	20508406	+	625	19.0064597885736	0.125015539052564	1.3031890226796	0.0959304727686463	0.923575792413001	1	33	28	24.2650004273591	22.2508623292118
Interval_423	chr1	20661318	20661866	+	549	45.1588479583283	0.102989298447433	0.805598126599203	0.127842028235837	0.898273989208088	1	65	56	47.7946978114648	44.5017246584235
Interval_424	chr1	20786435	20787301	+	867	54.20515400605	0.519331707747036	0.726301325269283	0.715036156039629	0.474586702197659	1	79	51	58.0889404170111	40.52835638535
