Geneid	Chr	Start	End	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	UVR.11_R1.mLb.clN.bam.raw	UVR.14_R1.mLb.clN.bam.raw	DME.4_R1.mLb.clN.bam.raw	UVR.11_R1.mLb.clN.bam.pseudo	UVR.14_R1.mLb.clN.bam.pseudo	DME.4_R1.mLb.clN.bam.pseudo
Interval_281	chr1	1574797	1575222	+	426	12.407508177297	-0.725928942438125	1.43472185794908	-0.50597189860607	0.612876377231682	1	17	6	12	14.9786414839414	7.3053723622733	18.5713357155638
Interval_282	chr1	1615242	1615839	+	598	42.1835578121227	-0.565310064878709	0.732487159506113	-0.771767883630719	0.440251916657957	1	44	37	40	38.7682485466717	45.0497962340187	61.9044523852126
Interval_283	chr1	1658950	1659372	+	423	22.8544335536107	-0.412620183461017	1.03613468116649	-0.398230259985589	0.690460462380121	1	24	17	18	21.1463173890937	20.698555026441	27.8570035733457
Interval_284	chr1	1692481	1693416	+	936	54.4284913371	-0.496618032649412	0.649015033460586	-0.765187256143229	0.444160047149483	1	56	35	42	49.3414072412186	42.6146721132609	64.9996750044732
Interval_285	chr1	1724256	1724780	+	525	28.3113394766977	0.205478728099926	0.93817174885814	0.219020374840766	0.826634176239351	1	33	23	16	29.0761864100038	28.0039273887143	24.761780954085
Interval_286	chr1	1745744	1746754	+	1011	45.8730388478513	0.270659182240835	0.7320279082684	0.369738884520229	0.711577056061592	1	44	42	24	38.7682485466717	51.1376065359131	37.1426714311276
Interval_287	chr1	1780254	1780622	+	369	16.3248805135334	0.3891399364363	1.2777381987372	0.304553731602365	0.760706063629554	1	26	11	9	22.9085105048515	13.3931826641677	13.9285017866728
Interval_288	chr1	1919287	1919745	+	459	51.8972211969582	0.385364979727736	0.680204979985191	0.566542426278805	0.571025100435378	1	67	41	27	59.0334693778865	49.9200444755342	41.7855053600185
Interval_289	chr1	2133087	2133682	+	596	44.7961241286874	-0.0144756638149496	0.73432761857053	-0.0197128140749063	0.984272468613029	1	59	30	29	51.9846969148553	36.5268618113665	44.8807279792791
Interval_290	chr1	2151222	2151463	+	242	6.99221533341727	1.15020066456237	1.98403973825973	0.579726626630598	0.562098984445392	1	15	6	3	13.2164483681835	7.3053723622733	4.64283392889094
Interval_291	chr1	2189487	2189842	+	356	23.0340951594843	-0.123569885786106	1.13027016300006	-0.109327742898314	0.912942542826887	1	40	8	16	35.2438623151561	9.74049648303106	24.761780954085
Interval_292	chr1	2194838	2195398	+	561	28.7964281106158	-0.584530525808948	0.919642858491492	-0.635606007714522	0.525033252763597	1	24	20	22	21.1463173890937	24.3512412075777	34.0474488118669
Interval_293	chr1	2227736	2227926	+	191	24.3588370453452	0.405714045357396	1.01741143204172	0.39877087339506	0.690062040388271	1	36	21	14	31.7194760836405	25.5688032679565	21.6665583348244
Interval_294	chr1	2255782	2256307	+	526	32.6983146179905	-0.415426802253277	0.855166099656751	-0.485784928121007	0.627119661458343	1	30	28	26	26.4328967363671	34.0917376906087	40.2378940503882
Interval_295	chr1	2300602	2301298	+	697	47.4163049871515	-0.210409493523921	0.699547405911663	-0.300779463615781	0.763582669340762	1	59	34	35	51.9846969148553	41.397110052882	54.166395837061
Interval_296	chr1	2391503	2391838	+	336	43.3590106712063	-0.331338681140298	0.745230246623164	-0.444612497468643	0.656599814365533	1	53	26	32	46.6981175675819	31.656613569851	49.5235619081701
Interval_297	chr1	2412548	2412859	+	312	28.85301445742	0.791215505840788	0.950225993942487	0.832660346996019	0.405036314000213	1	37	26	12	32.6005726415194	31.656613569851	18.5713357155638
Interval_298	chr1	2546301	2546501	+	201	18.1806874763026	0.473948855295323	1.21865841929292	0.388910335982672	0.69734247591101	1	21	13	8	18.503027715457	15.8283067849255	12.3808904770425
Interval_299	chr1	2546709	2547071	+	363	20.3056225264876	1.21288498667613	1.16826619619441	1.03819231492537	0.299180529801704	1	28	21	7	24.6707036206093	25.5688032679565	10.8332791674122
Interval_300	chr1	2556244	2556535	+	292	11.2227971019816	-0.585065747877217	1.498892840967	-0.390331938272364	0.696291109282146	1	8	13	11	7.04877246303122	15.8283067849255	17.0237244059335
Interval_301	chr1	2577981	2578179	+	199	4.62408059618795	0.62798955952056	2.60373378257281	0.241188082946033	0.809409346741332	1	4	5	2	3.52438623151561	6.08781030189442	3.09522261926063
Interval_302	chr1	2586382	2586643	+	262	27.5490800220587	0.158948970004708	0.960233956763805	0.165531502906229	0.868525656104453	1	44	19	18	38.7682485466717	23.1336791471988	27.8570035733457
Interval_303	chr1	2642926	2643331	+	406	25.6741300559011	0.102606623961812	1.00501357171846	0.102094764537722	0.918681456594917	1	22	28	16	19.3841242733359	34.0917376906087	24.761780954085
Interval_304	chr1	2653764	2654170	+	407	44.7226112412226	0.575242963261681	0.792608320737782	0.725759430239426	0.467986261688778	1	38	64	24	33.4816691993983	77.9239718642485	37.1426714311276
Interval_305	chr1	2657993	2658232	+	240	19.5588954353405	-0.137671950715131	3.66069708956272	-0.0376081241760367	0.970000130350118	1	51	0	16	44.9359244518241	0	24.761780954085
Interval_306	chr1	2659878	2660115	+	238	17.3502362510424	0.9888751451008	1.37186859251502	0.720823518007593	0.47101810379376	1	47	6	8	41.4115382203084	7.3053723622733	12.3808904770425
Interval_307	chr1	2671775	2672041	+	267	15.3068391412015	0.37014733561767	1.35130478897212	0.273918466535758	0.784147279907628	1	34	8	10	29.9572829678827	9.74049648303106	15.4761130963031
Interval_308	chr1	2682859	2683072	+	214	11.0680684726051	0.320617546330235	3.53160617875794	0.0907851923747046	0.927663276232065	1	35	0	8	30.8383795257616	0	12.3808904770425
Interval_309	chr1	2683973	2684357	+	385	26.0670213232118	0.0495656052166145	1.02383748227733	0.0484115946862637	0.961388218917361	1	22	45	23	19.3841242733359	54.7902927170497	35.5950601214972
Interval_310	chr1	3624492	3625011	+	520	39.1225502191605	-0.238472205822445	0.78756131396296	-0.302798273092501	0.762043599549647	1	34	36	28	29.9572829678827	43.8322341736398	43.3331166696488
Interval_311	chr1	3796429	3796785	+	357	25.3617285676442	-0.409400987306998	0.987052206664891	-0.414771361172785	0.678309286553271	1	28	16	19	24.6707036206093	19.4809929660621	29.404614882976
Interval_312	chr1	3857149	3857685	+	537	37.5361154357705	0.700896510847031	0.826664700483703	0.847860699068096	0.396515554038389	1	41	45	18	36.124958873035	54.7902927170497	27.8570035733457
Interval_313	chr1	3900395	3901396	+	1002	127.410973828457	0.0663831718211667	0.521270989581616	0.127348678802262	0.89866443379779	1	127	108	75	111.899262850621	131.496702520919	116.070848222274
Interval_314	chr1	5992110	5992883	+	774	72.4332681743525	-0.168590208986721	0.570660147760011	-0.295430142876599	0.767665309644395	1	74	62	51	65.2011452830388	75.4888477434908	78.9281767911461
Interval_315	chr1	6028201	6028480	+	280	12.4605796544757	1.88825250734331	1.56966572952845	1.20296472798102	0.22898997022154	1	21	13	3	18.503027715457	15.8283067849255	4.64283392889094
Interval_316	chr1	6199512	6199845	+	334	42.4672415696507	0.0600372073823115	0.753527708269739	0.0796748503385095	0.936495862370551	1	45	31	24	39.6493451045506	37.7444238717454	37.1426714311276
Interval_317	chr1	6348576	6348933	+	358	11.1343041534501	0.417804614540355	1.52340842750599	0.274256467928533	0.783887535866423	1	13	11	6	11.4542552524257	13.3931826641677	9.28566785778189
Interval_318	chr1	6393352	6394071	+	720	40.6007246896109	-0.300510809196629	0.763731120395703	-0.393477234554654	0.693967035028772	1	48	27	30	42.2926347781873	32.8741756302298	46.4283392889094
Interval_319	chr1	6462255	6462475	+	221	6.5036196982691	1.91538062604046	2.1340781320074	0.897521321882801	0.369440801115631	1	10	12	2	8.81096557878903	14.6107447245466	3.09522261926063
Interval_320	chr1	6579701	6580055	+	355	29.4348768483469	-0.296342358416781	0.902033546054927	-0.328526981854327	0.742513246779782	1	30	26	23	26.4328967363671	31.656613569851	35.5950601214972
Interval_321	chr1	6602657	6603401	+	745	40.2773134505174	0.176226450990618	0.796452108130593	0.221264341184621	0.824886613480327	1	35	44	24	30.8383795257616	53.5727306566709	37.1426714311276
Interval_322	chr1	6603584	6603760	+	177	8.351809837033	-0.315633690972854	1.74232228135007	-0.18115689293044	0.856244429164239	1	6	8	6	5.28657934727342	9.74049648303106	9.28566785778189
Interval_323	chr1	6613340	6613731	+	392	56.2014398541894	0.0728365289436163	0.649496836328245	0.112143008048165	0.910710016986353	1	70	40	34	61.6767590515232	48.7024824151553	52.6187845274307
Interval_324	chr1	6701686	6701975	+	290	18.0790714162601	1.16201627336224	1.25055242689196	0.929202365589935	0.352784221724711	1	25	16	6	22.0274139469726	19.4809929660621	9.28566785778189
Interval_325	chr1	6784745	6785436	+	692	136.516707981169	-0.149866454770752	0.517736625661218	-0.289464657014274	0.772225822360452	1	152	96	90	133.926676797593	116.885957796373	139.285017866728
Interval_326	chr1	7072568	7072962	+	395	8.00622239272251	0.660014722785339	1.8801236955466	0.351048563639029	0.725551915407903	1	11	4	3	9.69206213666793	4.87024824151553	4.64283392889094
Interval_327	chr1	7770804	7771506	+	703	18.9065224727718	0.0773806319249687	1.18177980409031	0.0654780456199568	0.947793385874956	1	29	11	12	25.5518001784882	13.3931826641677	18.5713357155638
Interval_328	chr1	7783864	7784228	+	365	39.5358606751552	-0.1390142885112	0.799094620040769	-0.173964740876504	0.861893172360104	1	57	23	28	50.2225037990975	28.0039273887143	43.3331166696488
Interval_329	chr1	7954174	7954366	+	193	8.98271037837105	-0.104041356796087	1.73873054927718	-0.059837538852319	0.952285027447752	1	12	3	5	10.5731586945468	3.65268618113665	7.73805654815157
Interval_330	chr1	7961230	7961859	+	630	66.3037773512392	-0.262697991205872	0.591251774853561	-0.444308165114491	0.656819798741539	1	67	49	46	59.0334693778865	59.6605409585653	71.1901202429945
Interval_331	chr1	8026218	8026465	+	248	18.1610845442753	-0.112412428900895	1.1854138182971	-0.0948296933659677	0.924450101249414	1	17	16	12	14.9786414839414	19.4809929660621	18.5713357155638
Interval_332	chr1	8152686	8153620	+	935	26.0014675429515	-0.3040091775831	0.991547648150861	-0.306600674359974	0.759147340284233	1	26	14	16	22.9085105048515	17.0458688453044	24.761780954085
Interval_333	chr1	8424546	8424722	+	177	5.53601755723307	0.328057445892371	2.26346275382251	0.144936091984881	0.884761330005038	1	5	6	3	4.40548278939451	7.3053723622733	4.64283392889094
Interval_334	chr1	8525824	8526166	+	343	26.1923647447739	1.17389046899908	0.997635074579315	1.17667321339328	0.239325963273439	1	47	29	11	41.4115382203084	35.3092997509876	17.0237244059335
Interval_335	chr1	8878407	8879213	+	807	57.5045843827503	0.0662631735108481	0.633168640403874	0.104653277630082	0.916650937342214	1	71	47	37	62.5578556094021	57.2254168378075	57.2616184563216
Interval_336	chr1	9234255	9234660	+	406	13.9642859724759	1.23664273139553	1.41630392420966	0.873147853548184	0.382582493580695	1	22	14	5	19.3841242733359	17.0458688453044	7.73805654815157
Interval_337	chr1	9428825	9429115	+	291	26.6237909122028	0.721846943599022	0.97947412853177	0.73697397672062	0.461138174908037	1	34	30	13	29.9572829678827	36.5268618113665	20.1189470251941
Interval_338	chr1	9539185	9539493	+	309	26.7932297309577	-0.175983472652474	0.958538166392558	-0.183595686455329	0.854330647310994	1	27	21	18	23.7896070627304	25.5688032679565	27.8570035733457
Interval_339	chr1	9588392	9588773	+	382	27.3732279060558	0.709319608191223	0.957480863782075	0.740818574054202	0.458803451597302	1	39	30	14	34.3627657572772	36.5268618113665	21.6665583348244
Interval_340	chr1	9627120	9627434	+	315	17.0428606622171	0.295032550147562	1.25855030396286	0.234422532987818	0.814656967151902	1	29	10	10	25.5518001784882	12.1756206037888	15.4761130963031
Interval_341	chr1	9629973	9630284	+	312	10.6261247875662	-1.00538381124059	1.49911935018259	-0.670649612466236	0.502443769088412	1	13	7	13	11.4542552524257	8.52293442265218	20.1189470251941
Interval_342	chr1	9717514	9717822	+	309	21.9713586168377	0.15563152044691	1.07858626351978	0.14429214028652	0.885269784503648	1	22	21	13	19.3841242733359	25.5688032679565	20.1189470251941
Interval_343	chr1	9900564	9900862	+	299	10.7708378951678	1.35584575795887	1.58813171979351	0.853736337521902	0.393251095476913	1	18	13	4	15.8597380418203	15.8283067849255	6.19044523852126
Interval_344	chr1	9910200	9911169	+	970	110.194984822006	-0.253904124016011	0.520173126720281	-0.488114650629666	0.625468634337647	1	104	87	76	91.6340420194059	105.927899252963	117.618459531904
Interval_345	chr1	9943155	9943459	+	305	11.926865344983	0.436822594202326	1.52317188465612	0.286784832757692	0.774277077061325	1	14	7	5	12.3353518103046	8.52293442265218	7.73805654815157
Interval_346	chr1	10032604	10033359	+	756	63.2958794230026	0.103315515486415	0.611115608607948	0.169060508406513	0.865749047463989	1	66	59	39	58.1523728200076	71.8361615623541	60.3568410755823
Interval_347	chr1	10210138	10210554	+	417	35.3782063023683	-0.322611398673887	0.813301510535925	-0.396668879246643	0.691611652162007	1	44	27	29	38.7682485466717	32.8741756302298	44.8807279792791
Interval_348	chr1	10398598	10399412	+	815	58.2133426350211	-0.123116428087366	0.633180455422312	-0.194441295578606	0.845830357695366	1	72	41	40	63.438952167281	49.9200444755342	61.9044523852126
Interval_349	chr1	10430313	10430776	+	464	16.7815753914395	0.831602554852497	1.27458049805238	0.652451968410962	0.514109648622263	1	19	18	7	16.7408345996992	21.9161170868199	10.8332791674122
Interval_350	chr1	10472342	10472682	+	341	22.3903548528383	-0.789597541100009	1.05768328811476	-0.746534950464618	0.45534432687918	1	16	18	20	14.0975449260624	21.9161170868199	30.9522261926063
Interval_351	chr1	10494846	10495339	+	494	13.78699012862	-0.0685688282592676	1.3810499962107	-0.0496497798395465	0.960401476944156	1	13	10	8	11.4542552524257	12.1756206037888	12.3808904770425
Interval_352	chr1	10525252	10525555	+	304	10.1000273020788	-1.27386606236155	1.58146958269935	-0.805495139645515	0.420534009971135	1	5	7	10	4.40548278939451	8.52293442265218	15.4761130963031
Interval_353	chr1	11012309	11013105	+	797	44.1064239339299	-0.147174533399806	0.728992673633761	-0.201887534296051	0.840004647611125	1	57	32	32	50.2225037990975	38.9619859321243	49.5235619081701
Interval_354	chr1	11060033	11060469	+	437	32.7288424738871	0.521189105459286	0.888512489656566	0.586586133033132	0.5574816981155	1	36	25	14	31.7194760836405	30.4390515094721	21.6665583348244
Interval_355	chr1	11099452	11100119	+	668	18.54251640032	0.364783216934354	1.19366990598894	0.305598067861261	0.759910691766556	1	20	15	9	17.6219311575781	18.2634309056832	13.9285017866728
Interval_356	chr1	11241641	11241845	+	205	4.58370252691032	4.35751520019456	3.2433491781361	1.34352330287754	0.179102585643345	1	5	6	0	4.40548278939451	7.3053723622733	0
Interval_357	chr1	11262507	11262852	+	346	58.0154805496001	0.457493347014553	0.645013969603872	0.709276649148417	0.478152816089454	1	70	47	28	61.6767590515232	57.2254168378075	43.3331166696488
Interval_358	chr1	11273156	11273645	+	490	23.1298891623226	0.504932118183551	1.04355273389087	0.483858746937414	0.628486119202816	1	33	23	13	29.0761864100038	28.0039273887143	20.1189470251941
Interval_359	chr1	11462078	11462277	+	200	3.91646127398824	-1.50898173580401	2.94502098982857	-0.512384034278766	0.60838226264421	1	1	2	3	0.881096557878903	2.43512412075777	4.64283392889094
Interval_360	chr1	11650435	11650633	+	199	20.326610434167	-0.134102519046684	1.12842141611751	-0.118840813486226	0.905401473302087	1	17	25	16	14.9786414839414	30.4390515094721	24.761780954085
Interval_361	chr1	11680859	11681590	+	732	27.0756775436888	-0.14430777787315	0.94824152731587	-0.152184621445164	0.879041322989447	1	30	22	19	26.4328967363671	26.7863653283354	29.404614882976
Interval_362	chr1	11719333	11719978	+	646	30.6111106332064	-0.0358312718303477	0.890344502253667	-0.0402442781863093	0.96789837731662	1	40	23	21	35.2438623151561	28.0039273887143	32.4998375022366
Interval_363	chr1	11805739	11806425	+	687	59.4346928066634	-0.171356189815202	0.621003055544451	-0.275934535724578	0.782598347584554	1	63	47	41	55.5090831463709	57.2254168378075	63.4520636948429
Interval_364	chr1	11907825	11909099	+	1275	85.641235891599	0.289034096228002	0.561512699560959	0.5147418686238	0.606733411825775	1	75	64	38	66.0822418409177	77.9239718642485	58.809229765952
Interval_365	chr1	11909603	11910136	+	534	19.1285534771366	0.91156375938991	1.24122481856397	0.734406648784659	0.462700935781365	1	15	18	6	13.2164483681835	21.9161170868199	9.28566785778189
Interval_366	chr1	11926416	11926745	+	330	17.7437709488388	-0.885005571241211	1.17766084003088	-0.751494438091365	0.452355146809266	1	15	14	18	13.2164483681835	17.0458688453044	27.8570035733457
Interval_367	chr1	11979937	11980503	+	567	45.2599645176717	0.0310624827158209	0.725669165971436	0.042805294991745	0.965856743067105	1	45	43	29	39.6493451045506	52.355168596292	44.8807279792791
Interval_368	chr1	12019185	12019613	+	429	53.8399321249601	-0.612072082196352	0.654663997410073	-0.934940801109853	0.349818808575771	1	62	33	47	54.627986588492	40.1795479925031	72.7377315526248
Interval_369	chr1	12177899	12178374	+	476	29.0404871676054	-1.39055873836046	0.948477039494426	-1.4660963633887	0.14262203632429	1	13	21	31	11.4542552524257	25.5688032679565	47.9759505985398
Interval_370	chr1	12208811	12209034	+	224	7.23236922759343	-0.168795822661635	1.8957671570858	-0.0890382671894738	0.929051498059255	1	10	4	5	8.81096557878903	4.87024824151553	7.73805654815157
Interval_371	chr1	12229985	12230476	+	492	16.4998387317516	-0.167823378298061	1.27474727382797	-0.131652274724307	0.895259336085085	1	20	8	10	17.6219311575781	9.74049648303106	15.4761130963031
Interval_372	chr1	12620030	12620343	+	314	9.37518309175023	1.27195786074971	1.75149880507926	0.726211092500375	0.467709372874333	1	17	6	3	14.9786414839414	7.3053723622733	4.64283392889094
Interval_373	chr1	12933340	12933549	+	210	5.52478808631537	0.799906451002058	2.26228564672272	0.353583311709928	0.723651182781494	1	6	9	3	5.28657934727342	10.9580585434099	4.64283392889094
Interval_374	chr1	13105136	13105318	+	183	7.2355097530814	-0.674286908808091	1.88106823617292	-0.358459568792648	0.719999419712546	1	5	6	6	4.40548278939451	7.3053723622733	9.28566785778189
Interval_375	chr1	13224702	13225062	+	361	12.5203104015117	0.784264885361532	1.45832938442499	0.53778309189783	0.590726806307734	1	21	11	6	18.503027715457	13.3931826641677	9.28566785778189
Interval_376	chr1	13246316	13246541	+	226	8.14125551318783	2.1974071882221	1.91657820628416	1.14652623149796	0.25157747984879	1	17	11	2	14.9786414839414	13.3931826641677	3.09522261926063
Interval_377	chr1	13749176	13749436	+	261	23.4287427553158	-0.434047832897685	1.02581977069633	-0.423122896727806	0.67220559766856	1	22	18	18	19.3841242733359	21.9161170868199	27.8570035733457
Interval_378	chr1	15345986	15346179	+	194	8.07371621092464	0.6055049114227	1.80377952527145	0.335686763786488	0.737107088188292	1	13	6	4	11.4542552524257	7.3053723622733	6.19044523852126
Interval_379	chr1	15409493	15409846	+	354	15.0309042409209	-0.646623110792835	1.2918019719172	-0.500559005830562	0.616681519334555	1	14	11	13	12.3353518103046	13.3931826641677	20.1189470251941
Interval_380	chr1	15412113	15412329	+	217	11.0962735852215	-1.39938587100777	1.4854129961821	-0.942085382721545	0.346148927581665	1	9	6	13	7.92986902091013	7.3053723622733	20.1189470251941
Interval_381	chr1	15524433	15524794	+	362	26.2782527164511	0.382009522969206	1.00476382545947	0.380198324511251	0.703798202876466	1	23	30	14	20.2652208312148	36.5268618113665	21.6665583348244
Interval_382	chr1	15526580	15527020	+	441	47.1474200568319	0.181530642127682	0.715968309509011	0.253545638426609	0.799846598604478	1	47	47	28	41.4115382203084	57.2254168378075	43.3331166696488
Interval_383	chr1	15603558	15603755	+	198	15.0830646558514	-0.204519267709392	1.33355706661103	-0.153363716356839	0.87811145649956	1	10	15	10	8.81096557878903	18.2634309056832	15.4761130963031
Interval_384	chr1	15617166	15617749	+	584	36.7526521394483	0.187144707668873	0.814567365734602	0.229747367180736	0.81828808556111	1	53	28	23	46.6981175675819	34.0917376906087	35.5950601214972
Interval_385	chr1	15834376	15835034	+	659	33.8294739842356	-0.211434189102111	0.858647019501902	-0.246241102921155	0.805495599359507	1	27	29	22	23.7896070627304	35.3092997509876	34.0474488118669
Interval_386	chr1	15835776	15836153	+	378	28.6887419536904	0.186345924229558	0.926332011796294	0.201165372519304	0.840569266715415	1	40	23	18	35.2438623151561	28.0039273887143	27.8570035733457
Interval_387	chr1	15847409	15847783	+	375	34.4765302807206	0.597077860292202	0.862601664337703	0.692182597109446	0.488822666195626	1	37	31	15	32.6005726415194	37.7444238717454	23.2141696444547
Interval_388	chr1	15949610	15949900	+	291	21.0729129031994	-0.496024703206841	1.10453369056873	-0.449080645925283	0.653373481490068	1	15	20	17	13.2164483681835	24.3512412075777	26.3093922637154
Interval_389	chr1	15975922	15976214	+	293	14.7884905184173	-0.140175473193772	1.31887109429484	-0.10628443810782	0.915356678241052	1	14	13	10	12.3353518103046	15.8283067849255	15.4761130963031
Interval_390	chr1	16138885	16139077	+	193	3.59589522030683	0.95011051111822	3.2587745701576	0.291554537039446	0.770627239974299	1	4	2	1	3.52438623151561	2.43512412075777	1.54761130963031
Interval_391	chr1	16159770	16160076	+	307	4.02394788268837	-1.38775465179923	3.13676470716447	-0.442415922568103	0.658188259035376	1	0	3	3	0	3.65268618113665	4.64283392889094
Interval_392	chr1	16206621	16207127	+	507	43.6546189231061	-0.371281405069159	0.729655566686204	-0.508844750894407	0.610861048845494	1	48	30	33	42.2926347781873	36.5268618113665	51.0711732178004
Interval_393	chr1	16352256	16352785	+	530	23.4410406480463	1.71502512253416	1.15941619201619	1.47921439630042	0.139083023111189	1	26	23	5	22.9085105048515	28.0039273887143	7.73805654815157
Interval_394	chr1	16366950	16367899	+	950	71.1839951182121	-0.0644722674670424	0.578701929042664	-0.1114084198297	0.911292483569187	1	89	52	48	78.4175936512224	63.3132271397019	74.2853428622551
Interval_395	chr1	16420885	16421144	+	260	6.55184051121326	-0.688380669329168	2.04343560919543	-0.336874167324611	0.73621175975006	1	8	2	5	7.04877246303122	2.43512412075777	7.73805654815157
Interval_396	chr1	16498896	16499283	+	388	11.3091221765669	0.571341039366076	1.58431630320269	0.360623089095979	0.71838122660824	1	7	14	5	6.16767590515232	17.0458688453044	7.73805654815157
Interval_397	chr1	16513560	16514003	+	444	19.0772313929442	-0.0625038680721704	1.17251208174355	-0.0533076537507622	0.957486782063278	1	15	21	13	13.2164483681835	25.5688032679565	20.1189470251941
Interval_398	chr1	16514096	16514561	+	466	22.9343201074093	0.346594613414633	1.05872155269546	0.327370886643628	0.743387383465102	1	26	20	12	22.9085105048515	24.3512412075777	18.5713357155638
Interval_399	chr1	16589184	16589369	+	186	3.06367204931029	0.87370879457918	3.66822775682797	0.238182809928548	0.811739309197704	1	5	1	1	4.40548278939451	1.21756206037888	1.54761130963031
Interval_400	chr1	16613350	16613855	+	506	26.7607338887402	0.564685122167692	0.991589591105614	0.569474636717469	0.56903407835863	1	41	19	13	36.124958873035	23.1336791471988	20.1189470251941
Interval_401	chr1	16644506	16644960	+	455	38.1673235904035	-0.0345989141321828	0.796781198368637	-0.0434233566291751	0.965364059361016	1	37	38	26	32.6005726415194	46.2673582943976	40.2378940503882
Interval_402	chr1	16709712	16709972	+	261	8.39885340598935	-0.201511193072953	1.72098963151886	-0.117090300477353	0.906788495961284	1	10	6	6	8.81096557878903	7.3053723622733	9.28566785778189
Interval_403	chr1	16759137	16759328	+	192	7.12849333922355	1.40923557974398	2.04675159439703	0.688523015495261	0.491123481831835	1	9	7	2	7.92986902091013	8.52293442265218	3.09522261926063
Interval_404	chr1	16765354	16765567	+	214	4.83919094244293	-0.202955488349328	2.77121172928391	-0.0732370919928853	0.941617450484016	1	9	0	3	7.92986902091013	0	4.64283392889094
Interval_405	chr1	16796344	16797016	+	673	13.1863702849687	0.651299420234445	1.48306245177324	0.439158458536734	0.660546723143704	1	30	6	7	26.4328967363671	7.3053723622733	10.8332791674122
Interval_406	chr1	16872700	16872884	+	185	8.60073270748934	-0.125702105880446	1.71136647354748	-0.0734513079597027	0.941446989974103	1	7	9	6	6.16767590515232	10.9580585434099	9.28566785778189
Interval_407	chr1	16889146	16889499	+	354	13.1623747421557	0.410391044876845	1.44548824550401	0.283911713674123	0.776478039509717	1	10	20	8	8.81096557878903	24.3512412075777	12.3808904770425
