chr	start	end	Naive-B	Naive-T	CM	NK	memory-B	cDC	CD8T
chr3	5657064	5657564	16136.100091	1425.9245546349998					
chr1	207866730	207867230	8095.3993677	1322.0310327280001					
chr3	110736291	110736791	896.2901498505						
chr15	58252920	58253420	867.3864848569999						
chr15	69610324	69610824	8572.05898298	1236.2142876340001					
chr8	108490067	108490567	242.13352934800002						
chr4	141438983	141439483	312.91762508666665						
chr22	39439091	39439591	5837.12676416	702.108633396					
chr17	74516904	74517404	9195.350448680001						
chr5	144142209	144142709	961.017322005						
chr5	22852603	22853103	12107.500014385	647.3140995394999					
chr10	128147075	128147575	2461.43899693	896.2901498505					
chr11	34309209	34309709	6938.91374374						
chr17	28567525	28568025	1969.15119755	1315.1111905665	320.93468659933336	553.3362283576666			
chr19	3786125	3786625	9791.05734336						
chr18	44679395	44679895	1914.45255317	1422.9117585	228.6552654985				
chr5	159987036	159987536	4391.51973421	1751.774851115	280.377151072				
chr4	141331383	141331883	706.0156794224999						
chr19	35449073	35449573	10291.1592348	334.898309553					
chr4	184866350	184866850	2016.03574987						
chr13	50292003	50292503	2437.99672077						
chr8	133144436	133144936	2242.64441943	3687.82084728	427.94288053633335				
chr15	99476908	99477408	5610.5180946	309.64626106866666	299.62066879966665				
chr20	62977522	62978022	2648.97720623						
chr5	1480227	1480727	17777.0594223	2122.25288618					
chr11	10931205	10931705	1812.86935647						
chr4	71004481	71004981	1680.02979156	1322.0310327280001					
chr13	77338805	77339305	2289.52897175	2446.974775795	445.90650349				
chr2	172196721	172197221	8056.32890743	883.3447154235					
chr1	39541253	39541753	5008.83300646	1175.3941615115					
chr9	33226949	33227449	12736.970047600002	1763.82603565					
chr5	159916190	159916690	1249.1597220655						
chr2	37648575	37649075	18222.4626694	1538.856464935					
chr11	62020580	62021080	799.6465165705001						
chrX	153934845	153935345	1166.3557731065						
chr3	45950596	45951096	19355.5060172						
chr1	53986436	53986936	2047.29211809						
chr9	107883681	107884181	5633.96037076						
chr2	177352574	177353074	5235.44167602	876.4248732619999					
chr17	78913865	78914365	2203.57395916						
chr5	32207241	32207741	6391.92729998	1695.7560209049998					
chr1	91533544	91534044	12869.8096125						
chr11	129929689	129930189	2430.18262872						
chr10	30821197	30821697	1797.24117237						
chr20	44769023	44769523	473.4833545513334						
chr12	54383030	54383530	30435.888549400002	2751.8313888099997					
chrX	127571743	127572243	312.91762508666665						
chr9	35026174	35026674	242.13352934800002						
chr6	149128347	149128847	5907.45359264						
chr15	99090274	99090774	1182.3140036730001	1217.2432609369998					
chrX	130084469	130084969	4891.62162565						
chr8	104361705	104362205	2000.40756576						
chr22	30304619	30305119	2500.5094572	1807.79368132					
chr6	25173816	25174316	4602.50021967						
chr10	77247178	77247678	680.124810562						
chr16	74683572	74684072	3147.96613576	860.4666426955					
chr8	106760001	106760501	5172.92893959						
chr8	106591703	106592203	1319.018236593	841.495615996					
chr7	103373275	103373775	706.0156794224999						
chr11	60127231	60127731	1089.577416417						
chr22	37218863	37219363	6462.25412846	8579.845787355	679.6433334090001				
chr11	3835008	3835508	3336.61730696	818.6175432699999					
chr19	18392355	18392855	17261.3293468	2263.524258045					
chr3	52495694	52496194	4016.44331563						
chr19	5927430	5927930	1397.915139525						
chr2	240962225	240962725	1984.77938166						
chrX	104122764	104123264	1903.87311117						
chr7	139937655	139938155	5149.48666343	983.001144837					
chr20	34339887	34340387	3800.188554145						
chr2	241881451	241881951	12150.9131436						
chr17	30974990	30975490	9306.58363603						
chr9	35691258	35691758	2944.320294965						
chr17	74531251	74531751	6634.16415364	818.6175432699999					
chr6	35699567	35700067	410.97925758266666						
chr4	107932016	107932516	6712.242230375						
chr16	54125060	54125560	345.96675356325						
chr3	49353193	49353693	1617.51705513						
chr4	11138965	11139465	1303.0600060315	346.1867350836667					
chr13	73041271	73041771	693.0702449925						
chr2	159226072	159226572	12330.6372608						
chr5	89444066	89444566	680.124810562						
chr17	43608313	43608813	3852.3473825						
chr14	75198085	75198585	1182.3140036730001						
chr18	63253949	63254449	1835.8030964250001						
chr11	111418379	111418879	1711.71425147	883.3447154235					
chr9	101448966	101449466	1166.3557731065						
chr1	157829180	157829680	540.7075567456667						
chr9	105003475	105003975	5524.56308201						
chr15	31443767	31444267	9408.16683273	271.08872554133336	370.09691947833335				
chr9	4086083	4086583	3235.03411026						
chr8	115222746	115223246	616.292938563						
chr2	230925014	230925514	4930.69208592						
chr13	40206499	40206999	13823.1288431						
chr6	37679584	37680084	3681.7952550100003						
chr2	47735408	47735908	867.3864848569999						
chr21	31103487	31103987	1922.26664523						
chr2	105071982	105072482	7853.16251403						
chr9	114889802	114890302	1984.77938166						
chr11	48107161	48107661	2008.22165782	1334.082217268					
chr1	12204119	12204619	3681.7952550100003						
chr12	113129311	113129811	680.124810562						
chr1	19505624	19506124	12463.476825700001	2051.1700753					
chr2	68908333	68908833	5180.74303164	7596.7799975749995					
chr3	4751662	4752162	4289.93653752	225.56795059775	1283.5076207328334				
chr11	62497319	62497819	7157.70832125	734.919344418	238.88634888425003				
chr8	128149943	128150443	4461.8465627	527.6048165120001					
chr5	133241127	133241627	3852.3473825	588.6797104556666					
chr16	10806713	10807213	6251.27364301	305.63773031233336					
chr6	42045668	42046168	27083.6430583	8295.748700825001					
chr1	115091496	115091996	3828.90510634	238.63634888425003					
chr12	89347187	89347687	345.96675356325						
chr6	130114940	130115440	1656.5875154	1387.982501229					
chr17	38877398	38877898	1648.77342334						
chr3	170033344	170033844	9126.85951879						
chr17	2694065	2694565	9455.05138505						
chr7	103373787	103374287	540.7075567456667						
chr7	144825167	144825667	1268.1307487675						
chr19	703698	704198	42102.3279857	1024.8502442625	609.688241212	424.68076498000005			
chr4	48133993	48134493	8040.70072332						
chr14	68476464	68476964	2938.09861221	1560.84028777					
chr16	86213076	86213576	2539.147159615						
chr8	143553350	143553850	17777.0594223	1838.815892555					
chr1	32989241	32989741	8572.05898298	588.6797104556666	490.37667433150006				
chr14	105174406	105174906	8056.32890743						
chr7	24939394	24939894	2969.35498043						
chr9	104769610	104770110	473.4833545513334						
chr13	50290142	50290642	6774.81781061	696.083041127	329.96708670525				
chr3	157160672	157161172	17511.3802925						
chr9	128030883	128031383	12611.9445748	6605.900115795001					
chr14	49999102	49999602	28826.1855863						
chr2	121611646	121612146	4391.51973421	378.0431848785					
chr1	225897829	225898329	10150.5055778						
chr19	43670021	43670521	19199.224176099997	1544.8820572					
chr18	55322249	55322749	2977.16907248	1881.88928833	289.6655766026667				
chr10	23457971	23458471	3047.6496134299996						
chr19	35206408	35206908	3070.93817713	1757.800443385	841.9232281833333	250.60821466649998			
chr17	42188634	42189134	5641.77446282						
chr8	25345354	25345854	27779.097251099996	1008.8920137005					
chr19	2966977	2967477	1501.80866143	361.817024704					
chr5	138102942	138103442	2242.64441943	1082.657574255					
chr6	43724326	43724826	2117.61894657						
chr19	14019121	14019621	1416.88616623	883.3447154235					
chr5	98911594	98912094	345.96675356325						
chr2	224401922	224402422	11150.7093607	670.1921722655	393.07760394466663				
chr2	47296177	47296677	3930.48830304	740.944936687					
chr1	229478788	229479288	2944.320294965	618.4104345439999					
chr11	122843363	122843863	26896.104849						
chr3	196274543	196275043	16831.5542838	377.78064765766663					
chr11	8533243	8533743	825.537385431						
chr1	226132354	226132854	1589.743952765						
chr5	173018343	173018843	3195.96364999						
chr7	1926828	1927328	5610.5180946	2324.6744306250002					
chr11	83122715	83123215	2820.88723141						
chr6	43804036	43804536	5047.90346673						
chr16	86002084	86002584	1589.743952765						
chr19	45641300	45641800	25677.1064887	1280.1819333025					
chr11	3839665	3840165	2875.58587578						
chr14	101878734	101879234	16261.1255639						
chr3	52926882	52927382	706.0156794224999						
chr20	19828158	19828658	2133.24713068	1626.79175627	389.06907318833333				
chr2	190916780	190917280	1898.82436906	309.64626106866666					
chr8	31833443	31833943	2859.95769168						
chr1	214666639	214667139	680.124810562						
chr1	88022525	88023025	592.2596304752						
chr4	51906243	51906743	6235.6454588999995						
chr2	219578125	219578625	354.1332965246667						
chr3	134535512	134536012	4196.16743287	620.6348026526667					
chr15	74315020	74315520	667.179376131						
chr1	41901543	41902043	5227.62758397						
chr4	108050156	108050656	2023.84984192						
chr15	91705072	91705572	799.6465165705001						
chr7	38297159	38297659	2484.8812731						
chr10	45298299	45298799	592.2596304752	232.74897846625					
chr17	38326908	38327408	6837.33054704						
chr16	85751576	85752076	1801.768089055	634.368665109					
chr3	11570729	11571229	4399.33382627						
chr3	125627398	125627898	838.4828198615						
chr4	138406117	138406617	5876.19722443						
chr1	157566362	157566862	2516.13764131	1519.885438235	337.54494329875				
chr17	4720741	4721241	325.20605061733335						
chr3	136758106	136758606	5852.75494827						
chr19	45051514	45052014	1589.743952765	931.2194071145					
chr6	15403890	15404390	680.124810562						
chr16	57433947	57434447	8868.99448102						
chr6	38427802	38428302	5304.70223214	1178.4069576465					
chr7	30170743	30171243	4907.24980976						
chr3	14391031	14391531	2961.54088838						
chr2	133953478	133953978	3254.3082503650003	1108.548443114					
chr9	124206358	124206858	1501.80866143	1207.31062264					
chr6	15901639	15902139	4016.44331563	2456.013164195	307.30439697900005				
chr2	3559015	3559515	2688.562669985						
chr10	118728050	118728550	760.8102132785						
chr2	237057932	237058432	369.76358614500003						
chr1	107795444	107795944	2015.016521685						
chr11	72519787	72520287	29716.9920805						
chr3	43296597	43297097	18816.3336655						
chr4	48773224	48773724	2539.147159615						
chr4	67558456	67558956	1875.3820929	1441.882785195					
chr17	58308332	58308832	4266.49426135						
chr12	66662138	66662638	2242.64441943	1347.0276517					
chr4	169295696	169296196	409.09097344059995	727.9995022565					
chr22	40941803	40942303	3469.45687187						
chr15	69994716	69995216	5646.04244523						
chr3	4990151	4990651	1121.4938775455						
chr19	35347474	35347974	2406.74035256	3493.2133948849996	554.3827541686667	445.2364901676			
chr2	33528280	33528780	1166.3557731065						
chr12	47697967	47698467	1745.749258845						
chr16	47523310	47523810	2000.40756576						
chr12	124458046	124458546	5235.44167602	602.0215745453332					
chr9	35656285	35656785	515.4106004586666						
chr13	30153766	30154266	12518.1754701						
chr8	116975366	116975866	1268.1307487675						
chr2	98489419	98489919	3391.31595133						
chr3	18401826	18402326	2055.10621014						
chr16	55435313	55435813	345.96675356325						
chr2	31219500	31220000	4688.45523226	3975.82497984	625.3014693193335	414.76559348600006			
chr5	140602134	140602634	3227.2200181999997						
chr4	39369191	39369691	773.755647709						
chr22	37920047	37920547	2625.53493006						
chr4	81538927	81539427	815.6047471355						
chr22	41912856	41913356	339.169673571						
chr4	40600862	40601362	11650.811252200001	1469.8922002949998					
chr8	109642467	109642967	1375.931316694						
chr19	16958882	16959382	4266.49426135						
chr5	35856627	35857127	14174.7629855	6325.710075295001					
chr10	70599712	70600212	6852.95873115						
chr1	17539554	17540054	2602.0926539						
chr13	113474118	113474618	4219.60970903						
chr6	32604409	32604909	3782.02055402	3729.99999316	500.455508261				
chr2	241443446	241443946	15635.998199599999						
chr8	103078259	103078759	3969.55876331						
chr13	52910292	52910792	4118.02651233	676.217764535					
chr2	236787873	236788373	10330.2296951	407.70789356499995	389.4024065216667				
chr2	30298204	30298704	1287.1017754645						
chr7	75876260	75876760	10924.1006912	1403.940731795					
chr6	14784760	14785260	3891.41784277						
chr19	45326066	45326566	6485.69640462						
chr16	15569516	15570016	1230.188695369						
chr18	63444512	63445012	12471.290917799999						
chr4	73847457	73847957	2680.23357444						
chrX	109880592	109881092	4211.79561698	248.66772849125					
chr5	35761549	35762049	4508.73111502						
chr22	50219315	50219815	4696.26932431						
chr6	26303639	26304139	423.93434978000005						
chr6	7331932	7332432	3055.30999302	388.06907318833333					
chr11	57421731	57422231	7376.50289875						
chr1	151045475	151045975	1601.88887102						
chr12	104467476	104467976	854.4410504264999						
chr17	70205337	70205837	8212.6107485	1005.8792175655001					
chr17	58338899	58339399	2828.70132346						
chr19	50347169	50347669	3195.96364999	2107.18890551	271.75539220800005				
chr7	37832161	37832661	3641.36689705						
chr1	111598425	111598925	13244.8860311						
chr1	150163551	150164051	2156.68940684						
chr12	107492707	107493207	7548.575259424999						
chr3	196670289	196670789	1617.51705513						
chr17	82217560	82218060	14034.109328600001	1002.8664214305					
chr6	1709223	1709723	5610.5180946	1005.8792175655001					
chr1	197400045	197400545	1230.188695369						
chr1	59580258	59580758	289.23188196325						
chr1	64171644	64172144	515.4106004586666						
chr10	49177339	49177839	8837.7381128	1111.561239249					
chr22	30610292	30610792	10744.3765739						
chr3	111610132	111610632	7493.71427956	3878.521253645					
chr1	151945678	151946178	4547.80157529						
chr2	191571374	191571874	5516.74898996	883.3447154235					
chr7	22675867	22676367	7821.90614582						
chr2	151423743	151424243	2602.0926539						
chr22	43255244	43255744	7368.6888067						
chr7	22722445	22722945	986.9081908635						
chr10	113033930	113034430	1934.8953224050001						
chr10	87668613	87669113	2101.99076246						
chr12	112597920	112598420	2031.66393398						
chr15	43775496	43775996	493.11364417133336						
chr17	44339932	44340432	3024.05362481	431.9514112926667					
chr19	51549487	51549987	1531.56204254						
chr3	71360078	71360578	1416.88616623						
chr1	10189658	10190158	1686.717632505						
chr19	1264950	1265450	2767.7896193799997	2162.31348582					
chr19	35458883	35459383	2359.85580024	1217.2432609369998	271.4220588746667				
chr9	269350	269850	4297.75062957	602.0215745453332					
chr3	109804662	109805162	10002.0378288						
chr4	89296936	89297436	1375.931316694						
chr17	66246314	66246814	9892.64054006						
chr8	37900297	37900797	19910.306553	2477.99698703					
chr5	107571926	107572426	15604.7418314						
chr1	28123396	28123896	4321.19290573						
chr8	123139385	123139885	9361.28228041						
chr3	49248202	49248702	3367.87367517	521.419131215					
chr6	126337293	126337793	6274.71591917	724.986706122	254.98918701724998				
chr21	44930442	44930942	18542.8404436						
chr17	29200139	29200639	4961.94845414	699.0958372615					
chr1	62271952	62272452	11830.535369399999						
chr1	222129033	222129533	8064.14299948						
chr7	80722590	80723090	3782.02055402						
chr19	3520427	3520927	1463.86660803						
chr17	19386395	19386895	14143.506617299998	1153.4103386745					
chr13	99357245	99357745	5304.70223214						
chr7	130092531	130093031	325.20605061733335						
chr9	137387255	137387755	4860.36525744						
chr3	33834031	33834531	4418.375965159999	1626.79175627					
chr10	113005309	113005809	5258.88395218						
chr6	43813107	43813607	14659.236692899998						
chr12	120217143	120217643	4242.73953946						
chr12	56626680	56627180	2055.10621014						
chr2	168583269	168583769	6368.48502382						
chr11	133895197	133895697	922.1810187144999						
chrX	78104782	78105282	1889.4563822826667	1178.4069576465					
chr10	97037696	97038196	999.8536252955						
chr3	105837165	105837665	2867.77178373						
chr16	66594680	66595180	3211.5918340999997						
chr16	1444904	1445404	2410.82122218						
chr14	22870894	22871394	10791.261126200001						
chrX	79138814	79139314	2094.17667041	1309.0855983014999	292.3407740256667				
chr10	105837974	105838474	4680.641140199999						
chr19	51750658	51751158	4235.23789314						
chr16	81501162	81501662	3821.09101429	2782.853600055	575.0045130326668				
chr7	134710482	134710982	1883.19618496						
chr19	6273672	6274172	11783.6508171	808.684904974					
chr2	231597024	231597524	8048.51481537	699.0958372615	416.65445500566665				
chr8	100909030	100909530	3633.552805						
chr12	104473266	104473766	2469.25308899						
chr3	194255475	194255975	9195.350448680001						
chr13	66887057	66887557	2227.37070443						
chr4	139692517	139693017	3688.25144938						
chr12	52603270	52603770	2008.22165782						
chr2	145687577	145688077	410.97925758266666						
chr1	207423492	207423992	706.0156794224999						
chr19	49968305	49968805	6774.81781061	847.521208265					
chr20	50814926	50815426	867.3864848569999						
chr3	123693558	123694058	1166.3557731065						
chr2	191628869	191629369	4164.91106465						
chr12	26696498	26696998	799.6465165705001						
chr15	68341869	68342369	3383.50185928						
chr17	41673214	41673714	1758.1707121						
chr3	33060531	33061031	5133.85847932						
chr3	71387529	71388029	3527.2484022549997						
chr6	13479330	13479830	786.7010821395						
chr4	3556961	3557461	7243.66333384	676.217764535					
chr21	42393106	42393606	2891.21405989						
chr1	33334956	33335456	7298.36197821						
chr6	4914790	4915290	12252.4963403						
chr4	25240815	25241315	7353.06062259	857.453846561					
chr14	67668476	67668976	6337.2286556						
chr16	83847275	83847775	5360.46714888	896.2901498505					
chr13	74290303	74290803	4329.00699778	4069.22166001	628.9681359860001				
chr3	184523778	184524278	8447.03351012	426.94288053633335	404.032696142				
chr7	140232954	140233454	948.071887573	436.95994204900006					
chr1	36400862	36401362	33514.6408186	2428.897998985	412.31259091600003				
chr3	15345490	15345990	5532.37717406	2471.9713947600003					
chr10	113179288	113179788	8970.57767772	1617.7533678700001					
chr14	97994184	97994684	10955.3570594	7134.9279391	829.58989485				
chr7	75879848	75880348	718.9611138529999						
chr5	135999377	135999877	12135.2849595	1204.297826505					
chr19	18649733	18650233	566.9959822763334						
chr11	118227747	118228247	1375.931316694						
chr1	229272762	229273262	423.93434978000005						
chr1	179838331	179838831	473.4833545513334						
chr19	5686919	5687419	2320.78533997						
chr6	53171811	53172311	3641.36689705						
chr10	97712164	97712664	1805.05526442						
chr17	80678577	80679077	2203.57395916						
chr2	64636513	64637013	5304.70223214						
chr18	13313242	13313742	5024.46119057						
chr15	88683257	88683757	638.2757111359999						
chr11	122713942	122714442	2101.99076246	951.0846837080001	303.2958662226667				
chr7	7944554	7945054	1150.3975425395						
chr20	1375948	1376448	4633.75658788						
chr1	203274925	203275425	1562.81841075						
chr2	9538000	9538500	5204.18530781						
chr17	76540749	76541249	10173.947854						
chr10	132401735	132402235	999.8536252955						
chr18	23105793	23106293	906.2227881475001						
chr12	98408525	98409025	4602.50021967	1757.800443385					
chr8	22540345	22540845	13315.2128596						
chr1	181151465	181151965	7095.76158935						
chr18	13436557	13437057	4118.02651233						
chr4	26861550	26862050	5469.86443763	2806.9559691299996					
chr22	31792347	31792847	369.76358614500003						
chr6	14877077	14877577	21262.1444783	1751.774851115					
chr1	200646436	200646936	1031.7700864245						
chrX	130552390	130552890	999.8536252955						
chr16	79601303	79601803	1060.673751423						
chr15	100849476	100849976	3399.13004339						
chr1	999964	1000464	3649.18098911						
chr4	159278422	159278922	6305.97228739						
chr10	91210413	91210913	1734.72843594	1271.1435448975	712.55483894375				
chr5	146877747	146878247	13651.218817899999						
chr16	48597989	48598489	1734.72843594						
chr14	54783266	54783766	3782.02055402						
chr18	70422022	70422522	11541.4139634	342.17820432733333	432.9514112926667				
chr7	24834054	24834554	1835.8030964250001	384.060542432					
chr2	142868141	142868641	20504.1775491	426.94288053633335	285.3378727745				
chr1	201013163	201013663	10205.2042222	1287.1017754645					
