chr	start	end	Naive-B	Naive-T	CM	NK	memory-B	cDC	CD8T
chr16	10753118	10753618	0.3031	0.95	0.0525	0.0546			
chr14	65301887	65302387	0.9886	0.1505					
chr12	32482184	32482684	1.0						
chr6	36682280	36682780	1.0						
chr13	32030991	32031491	1.0						
chr4	2243544	2244044	1.0						
chr10	124615968	124616468	1.0						
chr16	1458910	1459410	0.8806	0.4738					
chr10	124093068	124093568	0.5043	0.8529	0.1039	0.0863			
chr16	81431955	81432455	0.9925	0.122					
chr6	42452953	42453453	1.0						
chr5	89301549	89302049	1.0						
chr14	54706501	54707001	1.0						
chr6	7963187	7963687	0.9532	0.3024					
chr18	76573585	76574085	1.0						
chr15	44195091	44195591	1.0						
chr11	10366557	10367057	1.0						
chr14	103418377	103418877	1.0						
chr7	50793191	50793691	1.0						
chr16	88945331	88945831	1.0						
chr21	14482071	14482571	0.9032	0.4292					
chr1	155241719	155242219	0.9918	0.1279					
chr12	89235590	89236090	1.0						
chr2	36477235	36477735	1.0						
chrX	20313822	20314322	0.9681	0.2505					
chr15	72372333	72372833	1.0						
chr9	124216694	124217194	1.0						
chr11	82997136	82997636	1.0						
chr1	200866550	200867050	1.0						
chr4	140718263	140718763	1.0						
chr1	243244489	243244989	1.0						
chr8	58632018	58632518	1.0						
chr22	40128933	40129433	1.0						
chr4	152696812	152697312	0.8658	0.5005					
chr1	43235733	43236233	1.0						
chr6	37008342	37008842	1.0						
chr16	88599149	88599649	0.9986	0.052					
chr1	160102805	160103305	1.0						
chr5	54440476	54440976	1.0						
chr14	89648442	89648942	1.0						
chr11	70315550	70316050	0.9924	0.1227					
chr15	22787105	22787605	1.0						
chr9	133458517	133459017	1.0						
chr18	25188248	25188748	1.0						
chr5	56414017	56414517	0.9836	0.1805					
chr4	85842464	85842964	0.9911	0.118	0.0485	0.037			
chr9	134372304	134372804	0.9865	0.1635					
chr11	9615062	9615562	0.857	0.508	0.0868				
chr3	185537234	185537734	0.9963	0.0859					
chr2	159753742	159754242	0.9975	0.0399	0.0587				
chr15	60397866	60398366	1.0						
chr5	134129273	134129773	1.0						
chr12	9761237	9761737	1.0						
chr10	103468311	103468811	1.0						
chr2	171655537	171656037	1.0						
chr3	52498696	52499196	0.9985	0.0368	0.0255	0.0313			
chr10	79079601	79080101	1.0						
chr2	144607763	144608263	0.9829	0.184					
chr6	169992337	169992837	1.0						
chr22	36289967	36290467	1.0						
chr8	125459263	125459763	1.0						
chr17	51372575	51373075	1.0						
chr7	50210621	50211121	1.0						
chr2	207167186	207167686	0.991	0.1336					
chr6	4281806	4282306	0.8526	0.4819	0.2021				
chr14	105863037	105863537	0.8706	0.492					
chr8	60792760	60793260	0.4778	0.8576	0.0732	0.176			
chr2	42648763	42649263	1.0						
chr19	10102703	10103203	0.7807	0.625					
chr7	139118914	139119414	0.8692	0.4945					
chr12	26125703	26126203	0.6533	0.7483	0.1154				
chr14	97702835	97703335	1.0						
chr17	3693662	3694162	0.7825	0.6226					
chr9	129460292	129460792	1.0						
chr22	29820691	29821191	0.9941	0.1088					
chr7	142771137	142771637	0.9341	0.3569					
chr14	96117049	96117549	1.0						
chrX	148609823	148610323	1.0						
chr20	44586219	44586719	0.8686	0.4956					
chr3	133424904	133425404	1.0						
chr8	100768571	100769071	1.0						
chr17	21140925	21141425	1.0						
chr15	65884497	65884997	1.0						
chr1	180428978	180429478	0.9894	0.1453					
chr10	60944485	60944985	1.0						
chr5	157503989	157504489	0.9749	0.2225					
chr2	229297234	229297734	0.9994	0.0336					
chr3	5657064	5657564	0.9961	0.088					
chr1	207866730	207867230	0.9869	0.1612					
chr3	110736291	110736791	1.0						
chr15	58252920	58253420	1.0						
chr15	69610324	69610824	0.9898	0.1427					
chr8	108490067	108490567	1.0						
chr4	141438983	141439483	1.0						
chr22	39439091	39439591	0.9928	0.1194					
chr17	74516904	74517404	1.0						
chr5	144142209	144142709	1.0						
chr5	22852603	22853103	0.9986	0.0534					
chr10	128147075	128147575	0.9396	0.3422					
chr11	34309209	34309709	1.0						
chr17	28567525	28568025	0.8028	0.5362	0.1308	0.2256			
chr19	3786125	3786625	1.0						
chr18	44679395	44679895	0.7989	0.5938	0.0954				
chr5	159987036	159987536	0.9272	0.3699	0.0592				
chr4	141331383	141331883	1.0						
chr19	35449073	35449573	0.9995	0.0325					
chr4	184866350	184866850	1.0						
chr13	50292003	50292503	1.0						
chr8	133144436	133144936	0.5171	0.8502	0.0987				
chr15	99476908	99477408	0.9971	0.055	0.0532				
chr20	62977522	62978022	1.0						
chr5	1480227	1480727	0.9929	0.1185					
chr11	10931205	10931705	1.0						
chr4	71004481	71004981	0.7859	0.6184					
chr13	77338805	77339305	0.6773	0.7238	0.1319				
chr2	172196721	172197221	0.994	0.109					
chr1	39541253	39541753	0.9736	0.2285					
chr9	33226949	33227449	0.9905	0.1372					
chr5	159916190	159916690	1.0						
chr2	37648575	37649075	0.9965	0.0841					
chr11	62020580	62021080	1.0						
chrX	153934845	153935345	1.0						
chr3	45950596	45951096	1.0						
chr1	53986436	53986936	1.0						
chr9	107883681	107884181	1.0						
chr2	177352574	177353074	0.9863	0.1651					
chr17	78913865	78914365	1.0						
chr5	32207241	32207741	0.9666	0.2564					
chr1	91533544	91534044	1.0						
chr11	129929689	129930189	1.0						
chr10	30821197	30821697	1.0						
chr20	44769023	44769523	1.0						
chr12	54383030	54383530	0.9959	0.09					
chrX	127571743	127572243	1.0						
chr9	35026174	35026674	1.0						
chr6	149128347	149128847	1.0						
chr15	99090274	99090774	0.6967	0.7173					
chrX	130084469	130084969	1.0						
chr8	104361705	104362205	1.0						
chr22	30304619	30305119	0.8104	0.5859					
chr6	25173816	25174316	1.0						
chr10	77247178	77247678	1.0						
chr16	74683572	74684072	0.9646	0.2637					
chr8	106760001	106760501	1.0						
chr8	106591703	106592203	0.843	0.5378					
chr7	103373275	103373775	1.0						
chr11	60127231	60127731	1.0						
chr22	37218863	37219363	0.6004	0.7972	0.0631				
chr11	3835008	3835508	0.9712	0.2383					
chr19	18392355	18392855	0.9915	0.13					
chr3	52495694	52496194	1.0						
chr19	5927430	5927930	1.0						
chr2	240962225	240962725	1.0						
chrX	104122764	104123264	1.0						
chr7	139937655	139938155	0.9823	0.1875					
chr20	34339887	34340387	1.0						
chr2	241881451	241881951	1.0						
chr17	30974990	30975490	1.0						
chr9	35691258	35691758	1.0						
chr17	74531251	74531751	0.9925	0.1225					
chr6	35699567	35700067	1.0						
chr4	107932016	107932516	1.0						
chr16	54125060	54125560	1.0						
chr3	49353193	49353693	1.0						
chr4	11138965	11139465	0.9665	0.2568					
chr13	73041271	73041771	1.0						
chr2	159226072	159226572	1.0						
chr5	89444066	89444566	1.0						
chr17	43608313	43608813	1.0						
chr14	75198085	75198585	1.0						
chr18	63253949	63254449	1.0						
chr11	111418379	111418879	0.8886	0.4586					
chr9	101448966	101449466	1.0						
chr1	157829180	157829680	1.0						
chr9	105003475	105003975	1.0						
chr15	31443767	31444267	0.9988	0.0288	0.0393				
chr9	4086083	4086583	1.0						
chr8	115222746	115223246	1.0						
chr2	230925014	230925514	1.0						
chr13	40206499	40206999	1.0						
chr6	37679584	37680084	1.0						
chr2	47735408	47735908	1.0						
chr21	31103487	31103987	1.0						
chr2	105071982	105072482	1.0						
chr9	114889802	114890302	1.0						
chr11	48107161	48107661	0.833	0.5533					
chr1	12204119	12204619	1.0						
chr12	113129311	113129811	1.0						
chr1	19505624	19506124	0.9867	0.1624					
chr2	68908333	68908833	0.5634	0.8262					
chr3	4751662	4752162	0.9568	0.0503	0.2863				
chr11	62497319	62497819	0.9942	0.1021	0.0332				
chr8	128149943	128150443	0.9931	0.1174					
chr5	133241127	133241627	0.9885	0.1511					
chr16	10806713	10807213	0.9988	0.0488					
chr6	42045668	42046168	0.9562	0.2929					
chr1	115091496	115091996	0.9981	0.0622					
chr12	89347187	89347687	1.0						
chr6	130114940	130115440	0.7665	0.6422					
chr17	38877398	38877898	1.0						
chr3	170033344	170033844	1.0						
chr17	2694065	2694565	1.0						
chr7	103373787	103374287	1.0						
chr7	144825167	144825667	1.0						
chr19	703698	704198	0.9995	0.0243	0.0145	0.0101			
chr4	48133993	48134493	1.0						
chr14	68476464	68476964	0.8831	0.4691					
chr16	86213076	86213576	1.0						
chr8	143553350	143553850	0.9947	0.1029					
chr1	32989241	32989741	0.996	0.0684	0.057				
chr14	105174406	105174906	1.0						
chr7	24939394	24939894	1.0						
chr9	104769610	104770110	1.0						
chr13	50290142	50290642	0.9936	0.1021	0.0484				
chr3	157160672	157161172	1.0						
chr9	128030883	128031383	0.8858	0.464					
chr14	49999102	49999602	1.0						
chr2	121611646	121612146	0.9963	0.0858					
chr1	225897829	225898329	1.0						
chr19	43670021	43670521	0.9968	0.0802					
chr18	55322249	55322749	0.8424	0.5325	0.082				
chr10	23457971	23458471	1.0						
chr19	35206408	35206908	0.8423	0.4821	0.2309	0.0687			
chr17	42188634	42189134	1.0						
chr8	25345354	25345854	0.9993	0.0363					
chr19	2966977	2967477	0.9722	0.2342					
chr5	138102942	138103442	0.9006	0.4347					
chr6	43724326	43724826	1.0						
chr19	14019121	14019621	0.8486	0.529					
chr5	98911594	98912094	1.0						
chr2	224401922	224402422	0.9976	0.06	0.0352				
chr2	47296177	47296677	0.9827	0.1852					
chr1	229478788	229479288	0.9786	0.2056					
chr11	122843363	122843863	1.0						
chr3	196274543	196275043	0.9997	0.0224					
chr11	8533243	8533743	1.0						
chr1	226132354	226132854	1.0						
chr5	173018343	173018843	1.0						
chr7	1926828	1927328	0.9238	0.3828					
chr11	83122715	83123215	1.0						
chr6	43804036	43804536	1.0						
chr16	86002084	86002584	1.0						
chr19	45641300	45641800	0.9988	0.0498					
chr11	3839665	3840165	1.0						
chr14	101878734	101879234	1.0						
chr3	52926882	52927382	1.0						
chr20	19828158	19828658	0.7869	0.6001	0.1435				
chr2	190916780	190917280	0.987	0.1609					
chr8	31833443	31833943	1.0						
chr1	214666639	214667139	1.0						
chr1	88022525	88023025	1.0						
chr4	51906243	51906743	1.0						
chr2	219578125	219578625	1.0						
chr3	134535512	134536012	0.9892	0.1463					
chr15	74315020	74315520	1.0						
chr1	41901543	41902043	1.0						
chr4	108050156	108050656	1.0						
chr15	91705072	91705572	1.0						
chr7	38297159	38297659	1.0						
chr10	45298299	45298799	0.9307	0.3658					
chr17	38326908	38327408	1.0						
chr16	85751576	85752076	0.9432	0.3321					
chr3	11570729	11571229	1.0						
chr3	125627398	125627898	1.0						
chr4	138406117	138406617	1.0						
chr1	157566362	157566862	0.8504	0.5137	0.1141				
chr17	4720741	4721241	1.0						
chr3	136758106	136758606	1.0						
chr19	45051514	45052014	0.8629	0.5054					
chr6	15403890	15404390	1.0						
chr16	57433947	57434447	1.0						
chr6	38427802	38428302	0.9762	0.2169					
chr7	30170743	30171243	1.0						
chr3	14391031	14391531	1.0						
chr2	133953478	133953978	0.9466	0.3224					
chr9	124206358	124206858	0.7794	0.6265					
chr6	15901639	15902139	0.8513	0.5206	0.0651				
chr2	3559015	3559515	1.0						
chr10	118728050	118728550	1.0						
chr2	237057932	237058432	1.0						
chr1	107795444	107795944	1.0						
chr11	72519787	72520287	1.0						
chr3	43296597	43297097	1.0						
chr4	48773224	48773724	1.0						
chr4	67558456	67558956	0.7928	0.6095					
chr17	58308332	58308832	1.0						
chr12	66662138	66662638	0.8572	0.5149					
chr4	169295696	169296196	0.4899	0.8718					
chr22	40941803	40942303	1.0						
chr15	69994716	69995216	1.0						
chr3	4990151	4990651	1.0						
chr19	35347474	35347974	0.5595	0.8121	0.1289	0.1035			
chr2	33528280	33528780	1.0						
chr12	47697967	47698467	1.0						
chr16	47523310	47523810	1.0						
chr12	124458046	124458546	0.9935	0.1142					
chr9	35656285	35656785	1.0						
chr13	30153766	30154266	1.0						
chr8	116975366	116975866	1.0						
chr2	98489419	98489919	1.0						
chr3	18401826	18402326	1.0						
chr16	55435313	55435813	1.0						
chr2	31219500	31220000	0.7571	0.642	0.101	0.067			
chr5	140602134	140602634	1.0						
chr4	39369191	39369691	1.0						
chr22	37920047	37920547	1.0						
chr4	81538927	81539427	1.0						
chr22	41912856	41913356	1.0						
chr4	40600862	40601362	0.9921	0.1252					
chr8	109642467	109642967	1.0						
chr19	16958882	16959382	1.0						
chr5	35856627	35857127	0.9132	0.4075					
chr10	70599712	70600212	1.0						
chr1	17539554	17540054	1.0						
chr13	113474118	113474618	1.0						
chr6	32604409	32604909	0.7088	0.6991	0.0938				
chr2	241443446	241443946	1.0						
chr8	103078259	103078759	1.0						
chr13	52910292	52910792	0.9868	0.162					
chr2	236787873	236788373	0.9985	0.0394	0.0376				
chr2	30298204	30298704	1.0						
chr7	75876260	75876760	0.9918	0.1275					
chr6	14784760	14785260	1.0						
chr19	45326066	45326566	1.0						
chr16	15569516	15570016	1.0						
chr18	63444512	63445012	1.0						
chr4	73847457	73847957	1.0						
chrX	109880592	109881092	0.9983	0.0589					
chr5	35761549	35762049	1.0						
chr22	50219315	50219815	1.0						
chr6	26303639	26304139	1.0						
chr6	7331932	7332432	0.992	0.126					
chr11	57421731	57422231	1.0						
chr1	151045475	151045975	1.0						
chr12	104467476	104467976	1.0						
chr17	70205337	70205837	0.9926	0.1216					
chr17	58338899	58339399	1.0						
chr19	50347169	50347669	0.8328	0.5491	0.0708				
chr7	37832161	37832661	1.0						
chr1	111598425	111598925	1.0						
chr1	150163551	150164051	1.0						
chr12	107492707	107493207	1.0						
chr3	196670289	196670789	1.0						
chr17	82217560	82218060	0.9975	0.0713					
chr6	1709223	1709723	0.9843	0.1765					
chr1	197400045	197400545	1.0						
chr1	59580258	59580758	1.0						
chr1	64171644	64172144	1.0						
chr10	49177339	49177839	0.9922	0.1248					
chr22	30610292	30610792	1.0						
chr3	111610132	111610632	0.8881	0.4597					
chr1	151945678	151946178	1.0						
chr2	191571374	191571874	0.9874	0.1581					
chr7	22675867	22676367	1.0						
chr2	151423743	151424243	1.0						
chr22	43255244	43255744	1.0						
chr7	22722445	22722945	1.0						
chr10	113033930	113034430	1.0						
chr10	87668613	87669113	1.0						
chr12	112597920	112598420	1.0						
chr15	43775496	43775996	1.0						
chr17	44339932	44340432	0.99	0.1414					
chr19	51549487	51549987	1.0						
chr3	71360078	71360578	1.0						
chr1	10189658	10190158	1.0						
chr19	1264950	1265450	0.788	0.6156					
chr19	35458883	35459383	0.8841	0.456	0.1017				
chr9	269350	269850	0.9903	0.1387					
chr3	109804662	109805162	1.0						
chr4	89296936	89297436	1.0						
chr17	66246314	66246814	1.0						
chr8	37900297	37900797	0.9923	0.1235					
chr5	107571926	107572426	1.0						
chr1	28123396	28123896	1.0						
chr8	123139385	123139885	1.0						
chr3	49248202	49248702	0.9882	0.153					
chr6	126337293	126337793	0.9926	0.1147	0.0403				
chr21	44930442	44930942	1.0						
chr17	29200139	29200639	0.9902	0.1395					
chr1	62271952	62272452	1.0						
chr1	222129033	222129533	1.0						
chr7	80722590	80723090	1.0						
chr19	3520427	3520927	1.0						
chr17	19386395	19386895	0.9967	0.0813					
chr13	99357245	99357745	1.0						
chr7	130092531	130093031	1.0						
chr9	137387255	137387755	1.0						
chr3	33834031	33834531	0.9384	0.3455					
chr10	113005309	113005809	1.0						
chr6	43813107	43813607	1.0						
chr12	120217143	120217643	1.0						
chr12	56626680	56627180	1.0						
chr2	168583269	168583769	1.0						
chr11	133895197	133895697	1.0						
chrX	78104782	78105282	0.8485	0.5292					
chr10	97037696	97038196	1.0						
chr3	105837165	105837665	1.0						
chr16	66594680	66595180	1.0						
chr16	1444904	1445404	1.0						
chr14	22870894	22871394	1.0						
chrX	79138814	79139314	0.8421	0.5264	0.1176				
chr10	105837974	105838474	1.0						
chr19	51750658	51751158	1.0						
chr16	81501162	81501662	0.8024	0.5844	0.1208				
chr7	134710482	134710982	1.0						
chr19	6273672	6274172	0.9977	0.0685					
chr2	231597024	231597524	0.9949	0.0864	0.0515				
chr8	100909030	100909530	1.0						
chr12	104473266	104473766	1.0						
chr3	194255475	194255975	1.0						
chr13	66887057	66887557	1.0						
chr4	139692517	139693017	1.0						
chr12	52603270	52603770	1.0						
chr2	145687577	145688077	1.0						
chr1	207423492	207423992	1.0						
chr19	49968305	49968805	0.9923	0.1241					
chr20	50814926	50815426	1.0						
chr3	123693558	123694058	1.0						
chr2	191628869	191629369	1.0						
chr12	26696498	26696998	1.0						
chr15	68341869	68342369	1.0						
chr17	41673214	41673714	1.0						
chr3	33060531	33061031	1.0						
chr3	71387529	71388029	1.0						
chr6	13479330	13479830	1.0						
chr4	3556961	3557461	0.9957	0.0929					
chr21	42393106	42393606	1.0						
chr1	33334956	33335456	1.0						
chr6	4914790	4915290	1.0						
chr4	25240815	25241315	0.9933	0.1158					
chr14	67668476	67668976	1.0						
chr16	83847275	83847775	0.9863	0.1649					
chr13	74290303	74290803	0.7246	0.6811	0.1053				
chr3	184523778	184524278	0.9976	0.0504	0.0477				
chr7	140232954	140233454	0.9082	0.4186					
chr1	36400862	36401362	0.9973	0.0723	0.0123				
chr3	15345490	15345990	0.913	0.4079					
chr10	113179288	113179788	0.9841	0.1775					
chr14	97994184	97994684	0.8363	0.5446	0.0633				
chr7	75879848	75880348	1.0						
chr5	135999377	135999877	0.9951	0.0988					
chr19	18649733	18650233	1.0						
chr11	118227747	118228247	1.0						
chr1	229272762	229273262	1.0						
chr1	179838331	179838831	1.0						
chr19	5686919	5687419	1.0						
chr6	53171811	53172311	1.0						
chr10	97712164	97712664	1.0						
chr17	80678577	80679077	1.0						
chr2	64636513	64637013	1.0						
chr18	13313242	13313742	1.0						
chr15	88683257	88683757	1.0						
chr11	122713942	122714442	0.9033	0.4087	0.1303				
chr7	7944554	7945054	1.0						
chr20	1375948	1376448	1.0						
chr1	203274925	203275425	1.0						
chr2	9538000	9538500	1.0						
chr17	76540749	76541249	1.0						
chr10	132401735	132402235	1.0						
chr18	23105793	23106293	1.0						
chr12	98408525	98409025	0.9342	0.3568					
chr8	22540345	22540845	1.0						
chr1	181151465	181151965	1.0						
chr18	13436557	13437057	1.0						
chr4	26861550	26862050	0.8897	0.4566					
chr22	31792347	31792847	1.0						
chr6	14877077	14877577	0.9966	0.0821					
chr1	200646436	200646936	1.0						
chrX	130552390	130552890	1.0						
chr16	79601303	79601803	1.0						
chr15	100849476	100849976	1.0						
chr1	999964	1000464	1.0						
chr4	159278422	159278922	1.0						
chr10	91210413	91210913	0.7657	0.5611	0.3145				
chr5	146877747	146878247	1.0						
chr16	48597989	48598489	1.0						
chr14	54783266	54783766	1.0						
chr18	70422022	70422522	0.9989	0.0296	0.0375				
chr7	24834054	24834554	0.9788	0.2048					
chr2	142868141	142868641	0.9997	0.0208	0.0139				
chr1	201013163	201013663	0.9921	0.1251					
chr4	150079275	150079775	1.0						
chr6	137975277	137975777	1.0						
chr6	112235847	112236347	1.0						
chr14	101826274	101826774	1.0						
chr5	160617041	160617541	1.0						
chr6	111972114	111972614	1.0						
chr6	136787873	136788373	1.0						
chr13	108352527	108353027	1.0						
chr8	129958376	129958876	0.9937	0.1121					
chr7	6423887	6424387	0.9995	0.031					
chr1	3901146	3901646	0.5901	0.7955	0.1376				
chr14	61503199	61503699	0.9286	0.3711					
chr12	111368900	111369400	1.0						
chr15	67520286	67520786	1.0						
chr15	84750534	84751034	0.8479	0.5302					
chr9	99086140	99086640	1.0						
chr3	37174694	37175194	1.0						
chr1	168520281	168520781	0.9308	0.3655					
chr18	3584849	3585349	0.9916	0.1297					
chr2	20576568	20577068	1.0						
chr2	216475228	216475728	1.0						
chr16	53429314	53429814	1.0						
chr1	91124929	91125429	1.0						
chr1	107919869	107920369	1.0						
chr1	54226967	54227467	0.998	0.0628					
chr8	141162827	141163327	0.9937	0.1119					
chr5	62537915	62538415	1.0						
chr12	112939869	112940369	1.0						
chr9	89541687	89542187	1.0						
chr9	98120101	98120601	0.9762	0.2071	0.0646				
chr3	128497533	128498033	1.0						
chr10	32273260	32273760	1.0						
chr6	63665302	63665802	0.8271	0.5621					
chr17	62995350	62995850	0.9959	0.0904					
chr5	172837641	172838141	0.8816	0.472					
chr14	54773168	54773668	1.0						
chr2	54081531	54082031	0.6926	0.7213					
chr5	150155655	150156155	1.0						
chr19	4067381	4067881	1.0						
chr15	48794529	48795029	0.9876	0.1496	0.0478				
chr2	90220563	90221063	1.0						
chr16	85990734	85991234	0.7993	0.6009					
chr3	10292770	10293270	0.3053	0.9484	0.0762	0.04			
chr20	62337903	62338403	0.8407	0.5414					
chrX	78327371	78327871	1.0						
chr12	32272431	32272931	1.0						
chr7	77316646	77317146	1.0						
chr2	105176422	105176922	1.0						
chr17	59001343	59001843	1.0						
chr3	151329308	151329808	0.9964	0.0527	0.067				
chr10	132551344	132551844	1.0						
chr1	23942985	23943485	1.0						
chr8	78445062	78445562	0.9522	0.3054					
chr15	91264595	91265095	0.9963	0.0854					
chr22	35410992	35411492	1.0						
chr1	117633318	117633818	1.0						
chr5	62479442	62479942	1.0						
chr3	66393964	66394464	1.0						
chr7	1986423	1986923	1.0						
chr8	6476388	6476888	1.0						
chr3	112407266	112407766	0.9185	0.3954					
chr2	218744552	218745052	1.0						
chr18	13577747	13578247	0.7316	0.6818					
chr14	35400160	35400660	1.0						
chr20	36949957	36950457	0.9986	0.0402	0.0335				
chr10	1359334	1359834	1.0						
chr1	231808910	231809410	1.0						
chr1	94017380	94017880	1.0						
chr12	47139263	47139763	1.0						
chr9	130010346	130010846	1.0						
chr3	137238130	137238630	1.0						
chr19	13790178	13790678	1.0						
chrX	24733094	24733594	1.0						
chr16	88745521	88746021	0.8414	0.5404					
chr7	129009315	129009815	0.9254	0.379					
chr2	127633057	127633557	0.916	0.4012					
chr1	89657851	89658351	1.0						
chr7	22179532	22180032	1.0						
chr4	184857390	184857890	1.0						
chr1	109371384	109371884	1.0						
chr17	31309489	31309989	0.8227	0.5561	0.1184				
chr3	170044828	170045328	0.5848	0.7376	0.0945	0.1337	0.2951		
chr6	14108869	14109369	0.3774	0.9237	0.0659				
chr7	28815798	28816298	0.4636	0.8338	0.2996				
chr4	172786051	172786551	1.0						
chr11	105829039	105829539	1.0						
chr17	38746698	38747198	1.0						
chr9	109097068	109097568	1.0						
chr22	22928649	22929149	0.9994	0.0298	0.0201				
chr6	30259242	30259742	1.0						
chr4	85681179	85681679	0.9987	0.035	0.0368				
chr3	32335657	32336157	1.0						
chr11	61815912	61816412	1.0						
chr10	62618884	62619384	1.0						
chr7	25117647	25118147	0.438	0.8964	0.0683				
chr6	35343424	35343924	1.0						
chr8	22455845	22456345	1.0						
chr16	68289563	68290063	0.9603	0.2789					
chrX	154040316	154040816	1.0						
chr7	47970076	47970576	0.9927	0.1204					
chr9	68995745	68996245	1.0						
chr20	1870810	1871310	0.5657	0.8173	0.0925	0.0582			
chr11	47611453	47611953	0.9899	0.1421					
chr11	47918016	47918516	0.6257	0.7715	0.1041	0.0488			
chr6	139517955	139518455	1.0						
chr2	38152029	38152529	1.0						
chr6	158865745	158866245	0.9669	0.2552					
chr3	152835177	152835677	0.3374	0.8502	0.4042				
chr13	108266241	108266741	1.0						
chr18	23069413	23069913	1.0						
chr4	84966485	84966985	0.9964	0.0852					
chr7	139095168	139095668	1.0						
chr6	144156236	144156736	1.0						
chr6	132135361	132135861	1.0						
chr17	64180689	64181189	1.0						
chr14	87994959	87995459	1.0						
chr19	41424862	41425362	1.0						
chr18	69896306	69896806	0.9644	0.2643					
chr7	24455732	24456232	0.8703	0.4925					
chr1	31300153	31300653	1.0						
