Geneid	Chr	Start	End	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PDR.4_R1.mLb.clN.bam.raw	DME.4_R1.mLb.clN.bam.raw	PDR.4_R1.mLb.clN.bam.pseudo	DME.4_R1.mLb.clN.bam.pseudo
Interval_279	chr1	1471602	1471792	+	191	13.8942790054309	0.40096394413264	1.56906153041602	0.255543798863215	0.798303119602845	1	18	7	14.3041257830647	10.8332791674122
Interval_280	chr1	1511747	1512209	+	463	20.6929904466195	0.240027329471481	1.28254702024941	0.187148951018424	0.85154384875158	1	23	10	18.2774940561382	15.4761130963031
Interval_281	chr1	1574797	1575222	+	426	12.407508177297	-1.22463236013958	1.66303399469053	-0.736384441959331	0.461496770115909	1	10	12	7.94673654614706	18.5713357155638
Interval_282	chr1	1615242	1615839	+	598	42.1835578121227	-1.23913926068975	0.85231281126913	-1.45385502166115	0.145986505124038	1	33	40	26.2242306022853	61.9044523852126
Interval_283	chr1	1658950	1659372	+	423	22.8544335536107	-0.809600784951671	1.19484194513455	-0.677579815680563	0.498038147459577	1	20	18	15.8934730922941	27.8570035733457
Interval_284	chr1	1692481	1693416	+	936	54.4284913371	-0.224641167927191	0.737139887993862	-0.30474699793896	0.760558851891766	1	70	42	55.6271558230294	64.9996750044732
Interval_285	chr1	1724256	1724780	+	525	28.3113394766977	-1.05471477219694	1.10369243483215	-0.955623812314475	0.339262326576113	1	15	16	11.9201048192206	24.761780954085
Interval_286	chr1	1745744	1746754	+	1011	45.8730388478513	-0.261167371736909	0.840579776269416	-0.31069909021128	0.756029388956091	1	39	24	30.9922725299735	37.1426714311276
Interval_287	chr1	1780254	1780622	+	369	16.3248805135334	0.260786864637145	1.45576972778928	0.179140189316323	0.857827625877374	1	21	9	16.6881467469088	13.9285017866728
Interval_288	chr1	1919287	1919745	+	459	51.8972211969582	0.473329534866527	0.770156319796881	0.614588912276097	0.538826238623286	1	73	27	58.0111767868736	41.7855053600185
Interval_289	chr1	2133087	2133682	+	596	44.7961241286874	-0.119147978148155	0.838114631149277	-0.142161911652553	0.886952116267085	1	52	29	41.3230300399647	44.8807279792791
Interval_290	chr1	2151222	2151463	+	242	6.99221533341727	-0.546566764965401	2.3230717363282	-0.235277609562455	0.813993272377633	1	4	3	3.17869461845882	4.64283392889094
Interval_291	chr1	2189487	2189842	+	356	23.0340951594843	-0.502172335307689	1.30027846698474	-0.386203684870822	0.699345824927593	1	22	16	17.4828204015235	24.761780954085
Interval_292	chr1	2194838	2195398	+	561	28.7964281106158	0.0708159824308529	1.0385214936559	0.0681892313865932	0.94563499912788	1	45	22	35.7603144576618	34.0474488118669
Interval_293	chr1	2227736	2227926	+	191	24.3588370453452	0.038394125262165	1.16377525906629	0.0329910134822501	0.973681753944263	1	28	14	22.2508623292118	21.6665583348244
Interval_294	chr1	2255782	2256307	+	526	32.6983146179905	-0.304493158570848	0.975236033419646	-0.312225090271889	0.754869465269548	1	41	26	32.581619839203	40.2378940503882
Interval_295	chr1	2300602	2301298	+	697	47.4163049871515	-0.20824650286892	0.798097505268911	-0.260928647808207	0.794147532139675	1	59	35	46.8857456222677	54.166395837061
Interval_296	chr1	2391503	2391838	+	336	43.3590106712063	-0.0308690599792845	0.846217617677867	-0.0364788670602171	0.970900529135353	1	61	32	48.4750929314971	49.5235619081701
Interval_297	chr1	2412548	2412859	+	312	28.85301445742	0.912861169993095	1.07155867241269	0.851900314462222	0.394269422301468	1	44	12	34.9656408030471	18.5713357155638
Interval_298	chr1	2546301	2546501	+	201	18.1806874763026	0.738831873292863	1.37445787524291	0.537544210412623	0.590891755103315	1	26	8	20.6615150199824	12.3808904770425
Interval_299	chr1	2546709	2547071	+	363	20.3056225264876	0.874892255793788	1.32140964126976	0.662090110794933	0.507913473224157	1	25	7	19.8668413653677	10.8332791674122
Interval_300	chr1	2556244	2556535	+	292	11.2227971019816	-0.720589227231463	1.72183776927147	-0.418500070152576	0.675581535268501	1	13	11	10.3307575099912	17.0237244059335
Interval_301	chr1	2577981	2578179	+	199	4.62408059618795	-0.961602088863677	3.07074687147261	-0.313149252970672	0.754167270988986	1	2	2	1.58934730922941	3.09522261926063
Interval_302	chr1	2586382	2586643	+	262	27.5490800220587	-0.324175444374801	1.10386548463544	-0.293672960054425	0.769007818413122	1	28	18	22.2508623292118	27.8570035733457
Interval_303	chr1	2642926	2643331	+	406	25.6741300559011	-0.206718003770734	1.15146768635296	-0.17952566643487	0.857524965797298	1	27	16	21.4561886745971	24.761780954085
Interval_304	chr1	2653764	2654170	+	407	44.7226112412226	0.43071058080119	0.903064380461932	0.476943383129422	0.633402438293196	1	63	24	50.0644402407265	37.1426714311276
Interval_305	chr1	2657993	2658232	+	240	19.5588954353405	-1.05465114100165	4.23064088486835	-0.249288741281209	0.803137439632161	1	15	16	11.9201048192206	24.761780954085
Interval_306	chr1	2659878	2660115	+	238	17.3502362510424	-0.502172980293393	1.59772267859441	-0.314305471795129	0.753289042766797	1	11	8	8.74141020076177	12.3808904770425
Interval_307	chr1	2671775	2672041	+	267	15.3068391412015	-0.583090612081431	1.56614521505015	-0.37230941708222	0.709662487985037	1	13	10	10.3307575099912	15.4761130963031
Interval_308	chr1	2682859	2683072	+	214	11.0680684726051	-1.37658920341379	4.0982536374389	-0.335896536719493	0.736948888781774	1	6	8	4.76804192768824	12.3808904770425
Interval_309	chr1	2683973	2684357	+	385	26.0670213232118	-1.90020053850469	1.22535879043121	-1.55072991954952	0.12096642125583	1	12	23	9.53608385537648	35.5950601214972
Interval_310	chr1	3624492	3625011	+	520	39.1225502191605	-0.681498003025294	0.907718003008807	-0.750781631262503	0.452784085896482	1	34	28	27.0189042569	43.3331166696488
Interval_311	chr1	3796429	3796785	+	357	25.3617285676442	-0.302641836045334	1.12533881079354	-0.268933971833714	0.787980493949747	1	30	19	23.8402096384412	29.404614882976
Interval_312	chr1	3857149	3857685	+	537	37.5361154357705	0.392029708480742	0.941175725121472	0.41653189517839	0.677020833161706	1	46	18	36.5549881122765	27.8570035733457
Interval_313	chr1	3900395	3901396	+	1002	127.410973828457	0.0856981057472834	0.595421776644103	0.14392840354327	0.885557006415746	1	155	75	123.174416465279	116.070848222274
Interval_314	chr1	5992110	5992883	+	774	72.4332681743525	-0.224641623589928	0.651483996582992	-0.344815259880772	0.730233260152867	1	85	51	67.54726064225	78.9281767911461
Interval_315	chr1	6028201	6028480	+	280	12.4605796544757	0.623349019629823	1.78903328123937	0.348427849926858	0.727518890112524	1	9	3	7.15206289153236	4.64283392889094
Interval_316	chr1	6199512	6199845	+	334	42.4672415696507	0.407626612883447	0.851048553328338	0.478969867570156	0.631960065202756	1	62	24	49.2697665861118	37.1426714311276
Interval_317	chr1	6348576	6348933	+	358	11.1343041534501	0.453431991486114	1.72968563536589	0.26214705274476	0.793208071973108	1	16	6	12.7147784738353	9.28566785778189
Interval_318	chr1	6393352	6394071	+	720	40.6007246896109	-0.344934820134439	0.872560577987237	-0.395313321317027	0.692611669394959	1	46	30	36.5549881122765	46.4283392889094
Interval_319	chr1	6462255	6462475	+	221	6.5036196982691	-0.961605014235752	2.57714926670674	-0.373127403468002	0.709053624055679	1	2	2	1.58934730922941	3.09522261926063
Interval_320	chr1	6579701	6580055	+	355	29.4348768483469	-0.397704228004419	1.0324184019663	-0.385216136449107	0.700077288978862	1	34	23	27.0189042569	35.5950601214972
Interval_321	chr1	6602657	6603401	+	745	40.2773134505174	0.561955181645562	0.90136609543319	0.623448324152342	0.532989950566503	1	69	24	54.8324821684147	37.1426714311276
Interval_322	chr1	6603584	6603760	+	177	8.351809837033	-0.376637848580274	1.9921849844085	-0.189057668604053	0.850047618665228	1	9	6	7.15206289153236	9.28566785778189
Interval_323	chr1	6613340	6613731	+	392	56.2014398541894	0.0383927709593776	0.739226236347542	0.0519364290275642	0.958579347266341	1	68	34	54.0378085138	52.6187845274307
Interval_324	chr1	6701686	6701975	+	290	18.0790714162601	0.976989712164016	1.41073745684908	0.692538294365663	0.488599345883888	1	23	6	18.2774940561382	9.28566785778189
Interval_325	chr1	6784745	6785436	+	692	136.516707981169	0.0622392641034545	0.591183718690011	0.105279056468891	0.916154381127456	1	183	90	145.425278794491	139.285017866728
Interval_326	chr1	7072568	7072962	+	395	8.00622239272251	-0.546569554452052	2.19191326566793	-0.249357291190762	0.803084418542606	1	4	3	3.17869461845882	4.64283392889094
Interval_327	chr1	7770804	7771506	+	703	18.9065224727718	0.311413507128784	1.34239541745498	0.231983440258747	0.816550875748749	1	29	12	23.0455359838265	18.5713357155638
Interval_328	chr1	7783864	7784228	+	365	39.5358606751552	0.0383938185595841	0.909351503631107	0.042221097569284	0.966322444126622	1	56	28	44.5017246584235	43.3331166696488
Interval_329	chr1	7954174	7954366	+	193	8.98271037837105	0.623356583705801	1.9569087041791	0.318541474303111	0.750074239745345	1	15	5	11.9201048192206	7.73805654815157
Interval_330	chr1	7961230	7961859	+	630	66.3037773512392	-0.12761715980791	0.672286849225676	-0.189825459110046	0.849445905123413	1	82	46	65.1632396784059	71.1901202429945
Interval_331	chr1	8026218	8026465	+	248	18.1610845442753	-0.459103809368888	1.36153437581981	-0.33719590009797	0.735969227754738	1	17	12	13.50945212845	18.5713357155638
Interval_332	chr1	8152686	8153620	+	935	26.0014675429515	0.592982515366534	1.11334361923083	0.532614105047108	0.594300736146037	1	47	16	37.3496617668912	24.761780954085
Interval_333	chr1	8424546	8424722	+	177	5.53601755723307	-0.224637299015012	2.60133790475187	-0.0863545249560489	0.931184595662042	1	5	3	3.97336827307353	4.64283392889094
Interval_334	chr1	8525824	8526166	+	343	26.1923647447739	-0.0991103138529976	1.15335101497128	-0.0859324807161722	0.931520091124237	1	20	11	15.8934730922941	17.0237244059335
Interval_335	chr1	8878407	8879213	+	807	57.5045843827503	-0.148692659377636	0.723609019569461	-0.205487570437011	0.83719120825566	1	65	37	51.6537875499559	57.2616184563216
Interval_336	chr1	9234255	9234660	+	406	13.9642859724759	0.175895144723614	1.62646252587612	0.108145833011963	0.913880011837629	1	11	5	8.74141020076177	7.73805654815157
Interval_337	chr1	9428825	9429115	+	291	26.6237909122028	0.145308506184649	1.12088105711999	0.129637757067647	0.896853029478527	1	28	13	22.2508623292118	20.1189470251941
Interval_338	chr1	9539185	9539493	+	309	26.7932297309577	-0.376642919710385	1.09762541599547	-0.343143402313436	0.731490580790332	1	27	18	21.4561886745971	27.8570035733457
Interval_339	chr1	9588392	9588773	+	382	27.3732279060558	0.0383935685956125	1.09825057844758	0.0349588421340814	0.972112560016017	1	28	14	22.2508623292118	21.6665583348244
Interval_340	chr1	9627120	9627434	+	315	17.0428606622171	-0.0356054265620498	1.44070975612373	-0.0247138095724757	0.980283239999344	1	19	10	15.0987994376794	15.4761130963031
Interval_341	chr1	9629973	9630284	+	312	10.6261247875662	-1.49210842742998	1.74057948879441	-0.857248081478585	0.391307794975013	1	9	13	7.15206289153236	20.1189470251941
Interval_342	chr1	9717514	9717822	+	309	21.9713586168377	0.507879346832778	1.22099555844957	0.415955114101879	0.677442848679775	1	36	13	28.6082515661294	20.1189470251941
Interval_343	chr1	9900564	9900862	+	299	10.7708378951678	0.208316927554661	1.82456356786755	0.114173565242307	0.909100206737651	1	9	4	7.15206289153236	6.19044523852126
Interval_344	chr1	9910200	9911169	+	970	110.194984822006	0.0850857645236784	0.591766730341503	0.143782609195647	0.885672136020764	1	157	76	124.763763774509	117.618459531904
Interval_345	chr1	9943155	9943459	+	305	11.926865344983	0.623353855454239	1.71898982945434	0.362628006735859	0.716882786010463	1	15	5	11.9201048192206	7.73805654815157
Interval_346	chr1	10032604	10033359	+	756	63.2958794230026	0.0928404606711345	0.695328750594575	0.133520238580307	0.893781959499816	1	81	39	64.3685660237912	60.3568410755823
Interval_347	chr1	10210138	10210554	+	417	35.3782063023683	-1.11914636520203	0.947443324235237	-1.18122777012059	0.237512252198811	1	26	29	20.6615150199824	44.8807279792791
Interval_348	chr1	10398598	10399412	+	815	58.2133426350211	-0.196072254152928	0.72270486952164	-0.27130335275409	0.786157728017135	1	68	40	54.0378085138	61.9044523852126
Interval_349	chr1	10430313	10430776	+	464	16.7815753914395	-0.447033088842667	1.48317390597257	-0.301403016222519	0.763107194580537	1	10	7	7.94673654614706	10.8332791674122
Interval_350	chr1	10472342	10472682	+	341	22.3903548528383	-0.52864403845311	1.20540922975312	-0.438559806416433	0.660980526193236	1	27	20	21.4561886745971	30.9522261926063
Interval_351	chr1	10494846	10495339	+	494	13.78699012862	0.497826037196887	1.55823713609548	0.31948028041759	0.749362342472374	1	22	8	17.4828204015235	12.3808904770425
Interval_352	chr1	10525252	10525555	+	304	10.1000273020788	-0.583086138614457	1.78860017418202	-0.326001387582956	0.744423305292993	1	13	10	10.3307575099912	15.4761130963031
Interval_353	chr1	11012309	11013105	+	797	44.1064239339299	-0.233685945711764	0.832901299876404	-0.28056859287702	0.779041308024814	1	53	32	42.1177036945794	49.5235619081701
Interval_354	chr1	11060033	11060469	+	437	32.7288424738871	0.690468831904593	1.00185126785217	0.689192951150185	0.49070185204472	1	44	14	34.9656408030471	21.6665583348244
Interval_355	chr1	11099452	11100119	+	668	18.54251640032	0.726448804932937	1.34669595512892	0.539430449884581	0.589589875082865	1	29	9	23.0455359838265	13.9285017866728
Interval_356	chr1	11241641	11241845	+	205	4.58370252691032	3.06591660612614	3.61705726246402	0.847627334502737	0.396645546385023	1	3	0	2.38402096384412	0
Interval_357	chr1	11262507	11262852	+	346	58.0154805496001	0.640428224956353	0.728048242493786	0.879650808252339	0.379048505544371	1	85	28	67.54726064225	43.3331166696488
Interval_358	chr1	11273156	11273645	+	490	23.1298891623226	-0.662044878067928	1.21567681186079	-0.544589541898527	0.586035849087714	1	16	13	12.7147784738353	20.1189470251941
Interval_359	chr1	11462078	11462277	+	200	3.91646127398824	0.77537116566893	3.26396702741537	0.2375548402163	0.81222638013744	1	10	3	7.94673654614706	4.64283392889094
Interval_360	chr1	11650435	11650633	+	199	20.326610434167	-0.502171483011013	1.29795620916537	-0.386894010341016	0.698834675582999	1	22	16	17.4828204015235	24.761780954085
Interval_361	chr1	11680859	11681590	+	732	27.0756775436888	-0.122070110801251	1.08122920586276	-0.11289938353436	0.910110325075273	1	34	19	27.0189042569	29.404614882976
Interval_362	chr1	11719333	11719978	+	646	30.6111106332064	-0.768960260296172	1.0319250344218	-0.745170661284548	0.456168556563117	1	24	21	19.072167710753	32.4998375022366
Interval_363	chr1	11805739	11806425	+	687	59.4346928066634	0.0206908839114191	0.705145179537798	0.0293427290036662	0.976591248743551	1	81	41	64.3685660237912	63.4520636948429
Interval_364	chr1	11907825	11909099	+	1275	85.641235891599	0.673107478168378	0.632134872649645	1.06481623984292	0.28695909465558	1	118	38	93.7714912445353	58.809229765952
Interval_365	chr1	11909603	11910136	+	534	19.1285534771366	1.49782095026103	1.3851258294109	1.08136092653623	0.279536595408339	1	33	6	26.2242306022853	9.28566785778189
Interval_366	chr1	11926416	11926745	+	330	17.7437709488388	-0.809598143902172	1.34853909759662	-0.60035199968992	0.548271670362137	1	20	18	15.8934730922941	27.8570035733457
Interval_367	chr1	11979937	11980503	+	567	45.2599645176717	0.0133022234044392	0.826488963639797	0.0160948590842123	0.987158714841495	1	57	29	45.2963983130383	44.8807279792791
Interval_368	chr1	12019185	12019613	+	429	53.8399321249601	-0.493827425370661	0.747152022760524	-0.660946380826359	0.508646700359355	1	65	47	51.6537875499559	72.7377315526248
Interval_369	chr1	12177899	12178374	+	476	29.0404871676054	-0.330837471506523	1.06830467987385	-0.309684566340746	0.756800840461106	1	48	31	38.1443354215059	47.9759505985398
Interval_370	chr1	12208811	12209034	+	224	7.23236922759343	0.416910499638221	2.14533933838405	0.194333125850502	0.845915049344478	1	13	5	10.3307575099912	7.73805654815157
Interval_371	chr1	12229985	12230476	+	492	16.4998387317516	0.30142910287875	1.44177233139818	0.209068447434023	0.834394805695481	1	24	10	19.072167710753	15.4761130963031
Interval_372	chr1	12620030	12620343	+	314	9.37518309175023	1.26077881313325	1.96932933368949	0.640207197224452	0.522037904319802	1	14	3	11.1254311646059	4.64283392889094
Interval_373	chr1	12933340	12933549	+	210	5.52478808631537	-1.54655522868676	2.73012472281042	-0.566477866657577	0.571068974832075	1	2	3	1.58934730922941	4.64283392889094
Interval_374	chr1	13105136	13105318	+	183	7.2355097530814	-0.546559412993591	2.14783963551679	-0.254469376556636	0.799132959535014	1	8	6	6.35738923691765	9.28566785778189
Interval_375	chr1	13224702	13225062	+	361	12.5203104015117	0.260786336122265	1.66669536681055	0.156469107261824	0.875663268128505	1	14	6	11.1254311646059	9.28566785778189
Interval_376	chr1	13246316	13246541	+	226	8.14125551318783	0.845739914203588	2.17848625005301	0.388223664107592	0.697850522438061	1	7	2	5.56271558230294	3.09522261926063
Interval_377	chr1	13749176	13749436	+	261	23.4287427553158	-0.324174621001225	1.16984065602609	-0.277110065658373	0.781695593093341	1	28	18	22.2508623292118	27.8570035733457
Interval_378	chr1	15345986	15346179	+	194	8.07371621092464	0.62335588113853	2.04549329163994	0.304745991436992	0.760559618525866	1	12	4	9.53608385537648	6.19044523852126
Interval_379	chr1	15409493	15409846	+	354	15.0309042409209	-0.138479735816084	1.46604034785198	-0.0944583387619462	0.924745075276555	1	23	13	18.2774940561382	20.1189470251941
Interval_380	chr1	15412113	15412329	+	217	11.0962735852215	-0.574573528061319	1.67958220046194	-0.342093127626199	0.732280809164471	1	17	13	13.50945212845	20.1189470251941
Interval_381	chr1	15524433	15524794	+	362	26.2782527164511	0.440491858141091	1.14077149937879	0.386135048413256	0.699396654031509	1	37	14	29.4029252207441	21.6665583348244
Interval_382	chr1	15526580	15527020	+	441	47.1474200568319	0.0383930026911414	0.816300798499135	0.0470329108604714	0.962486997470124	1	56	28	44.5017246584235	43.3331166696488
Interval_383	chr1	15603558	15603755	+	198	15.0830646558514	0.108785238111588	1.51422619879082	0.0718421317755943	0.942727543117967	1	21	10	16.6881467469088	15.4761130963031
Interval_384	chr1	15617166	15617749	+	584	36.7526521394483	0.00668471458301864	0.930038369716126	0.00718756860005572	0.994265199362072	1	45	23	35.7603144576618	35.5950601214972
Interval_385	chr1	15834376	15835034	+	659	33.8294739842356	0.333849476540894	0.969909329924227	0.344206892583429	0.73069069913342	1	54	22	42.9123773491941	34.0474488118669
Interval_386	chr1	15835776	15836153	+	378	28.6887419536904	-0.376643202356993	1.06624617850621	-0.35324225300827	0.723906833710096	1	27	18	21.4561886745971	27.8570035733457
Interval_387	chr1	15847409	15847783	+	375	34.4765302807206	0.831941275545543	0.971888351459062	0.856004986886177	0.391995021046994	1	52	15	41.3230300399647	23.2141696444547
Interval_388	chr1	15949610	15949900	+	291	21.0729129031994	-0.142176056676743	1.25597234973149	-0.113199989400355	0.909872004071743	1	30	17	23.8402096384412	26.3093922637154
Interval_389	chr1	15975922	15976214	+	293	14.7884905184173	-0.376640867762874	1.51171851163166	-0.249147486694696	0.803246698243456	1	15	10	11.9201048192206	15.4761130963031
Interval_390	chr1	16138885	16139077	+	193	3.59589522030683	0.623324843403547	3.69784547267878	0.168564329691148	0.866139339783684	1	3	1	2.38402096384412	1.54761130963031
Interval_391	chr1	16159770	16160076	+	307	4.02394788268837	-2.54652018851161	3.76193867490561	-0.676916985781409	0.498458626374046	1	1	3	0.794673654614706	4.64283392889094
Interval_392	chr1	16206621	16207127	+	507	43.6546189231061	-0.305560741022448	0.831948196914499	-0.367283374320301	0.713407654198811	1	52	33	41.3230300399647	51.0711732178004
Interval_393	chr1	16352256	16352785	+	530	23.4410406480463	2.20831228971079	1.28167756047786	1.72298584121847	0.0848910855084092	1	45	5	35.7603144576618	7.73805654815157
Interval_394	chr1	16366950	16367899	+	950	71.1839951182121	-0.0547166802080082	0.659378019518223	-0.0829822629634928	0.933865643070047	1	90	48	71.5206289153236	74.2853428622551
Interval_395	chr1	16420885	16421144	+	260	6.55184051121326	0.52382764435213	2.29683675169491	0.228064813037139	0.81959585438726	1	14	5	11.1254311646059	7.73805654815157
Interval_396	chr1	16498896	16499283	+	388	11.3091221765669	0.0383932017767505	1.8138073493549	0.0211671883402641	0.983112288326594	1	10	5	7.94673654614706	7.73805654815157
Interval_397	chr1	16513560	16514003	+	444	19.0772313929442	-0.340115699336479	1.34477482720417	-0.252916467839891	0.800332763604143	1	20	13	15.8934730922941	20.1189470251941
Interval_398	chr1	16514096	16514561	+	466	22.9343201074093	0.360321482301983	1.20193106057227	0.299785481981325	0.7643407900032	1	30	12	23.8402096384412	18.5713357155638
Interval_399	chr1	16589184	16589369	+	186	3.06367204931029	-0.961614105645864	4.33780266186769	-0.221682307980288	0.824561203645919	1	1	1	0.794673654614706	1.54761130963031
Interval_400	chr1	16613350	16613855	+	506	26.7607338887402	-0.0181902168993261	1.13671035853671	-0.0160025082579017	0.987232390651368	1	25	13	19.8668413653677	20.1189470251941
Interval_401	chr1	16644506	16644960	+	455	38.1673235904035	-0.202614315706368	0.911134626360825	-0.222375826627984	0.824021328282959	1	44	26	34.9656408030471	40.2378940503882
Interval_402	chr1	16709712	16709972	+	261	8.39885340598935	-0.739207059617157	1.9877427837689	-0.371882652852886	0.70998022136897	1	7	6	5.56271558230294	9.28566785778189
Interval_403	chr1	16759137	16759328	+	192	7.12849333922355	1.49781168209998	2.29158018849836	0.653615216965841	0.513359738001705	1	11	2	8.74141020076177	3.09522261926063
Interval_404	chr1	16765354	16765567	+	214	4.83919094244293	0.775363440788521	3.13948948712491	0.246971185591893	0.804930523997338	1	10	3	7.94673654614706	4.64283392889094
Interval_405	chr1	16796344	16797016	+	673	13.1863702849687	-0.0685195569513214	1.70536155079728	-0.0401789033646781	0.967950496722606	1	13	7	10.3307575099912	10.8332791674122
Interval_406	chr1	16872700	16872884	+	185	8.60073270748934	-0.739207290957204	1.97895324840978	-0.373534489281748	0.708750681060995	1	7	6	5.56271558230294	9.28566785778189
Interval_407	chr1	16889146	16889499	+	354	13.1623747421557	-1.15424621090102	1.70536554899179	-0.67683213817906	0.498512464710916	1	7	8	5.56271558230294	12.3808904770425
Interval_408	chr1	16895661	16896741	+	1081	76.3321553293669	-0.0116479685990771	0.718456209262695	-0.016212496250858	0.987064866207797	1	85	44	67.54726064225	68.0948976237339
Interval_409	chr1	16904519	16905243	+	725	75.8429788392859	0.323794307998441	0.690735625322612	0.468767349081221	0.639235940747753	1	78	32	61.9845450599471	49.5235619081701
Interval_410	chr1	17054018	17054334	+	317	55.3932071032404	-0.365503665186056	0.733936803798769	-0.498004274065904	0.618481029682315	1	65	43	51.6537875499559	66.5472863141035
Interval_411	chr1	18161109	18161311	+	203	5.47743179232754	-0.476164624086361	2.54043807828432	-0.187434060352275	0.851320319491227	1	7	5	5.56271558230294	7.73805654815157
Interval_412	chr1	18902458	18902974	+	517	51.9278426214536	-0.30953010622797	0.77377744749205	-0.400024719292623	0.68913831011464	1	55	35	43.7070510038088	54.166395837061
Interval_413	chr1	18956567	18957023	+	457	38.4065595915872	-0.269728559302296	0.898945844124105	-0.300049842896942	0.764139136959193	1	42	26	33.3762934938177	40.2378940503882
Interval_414	chr1	19210006	19210597	+	592	34.1893217051841	-0.275714604420755	0.958352292233626	-0.287696504359736	0.773579066066529	1	37	23	29.4029252207441	35.5950601214972
Interval_415	chr1	19251496	19251816	+	321	22.7671198486207	-0.639675336079792	1.18529805164771	-0.539674671016766	0.589421410715604	1	25	20	19.8668413653677	30.9522261926063
Interval_416	chr1	19345685	19345876	+	192	5.19435548486643	-1.54655363277394	2.88430503257856	-0.536196281359093	0.591822903279016	1	2	3	1.58934730922941	4.64283392889094
Interval_417	chr1	19463310	19463498	+	189	11.3866005289538	1.03839335610429	1.77431088980247	0.585237548882932	0.558388000309922	1	24	6	19.072167710753	9.28566785778189
Interval_418	chr1	19485582	19485956	+	375	22.2832447141994	1.27542935761742	1.26488231315145	1.00833836030143	0.313292053303044	1	33	7	26.2242306022853	10.8332791674122
Interval_419	chr1	19596705	19597723	+	1019	35.73398616871	-1.05782033063486	0.933555871495825	-1.13310875431582	0.257168585493896	1	29	31	23.0455359838265	47.9759505985398
Interval_420	chr1	19688303	19688554	+	252	8.41754122326281	-1.61366635220899	1.94504197808233	-0.829630604579523	0.406747667765627	1	7	11	5.56271558230294	17.0237244059335
Interval_421	chr1	19882218	19882507	+	290	36.6075092768448	-0.0230069849803499	0.919910567316991	-0.0250100235802835	0.980046968449452	1	46	24	36.5549881122765	37.1426714311276
Interval_422	chr1	20507782	20508406	+	625	19.0064597885736	0.675822633272472	1.36619293494654	0.494675836761603	0.620828960624092	1	28	9	22.2508623292118	13.9285017866728
Interval_423	chr1	20661318	20661866	+	549	45.1588479583283	0.201891578576581	0.836791932778136	0.241268552752778	0.809346982307701	1	56	25	44.5017246584235	38.6902827407579
Interval_424	chr1	20786435	20787301	+	867	54.20515400605	-0.333575808026644	0.751157876848519	-0.444082154108748	0.656983188364232	1	51	33	40.52835638535	51.0711732178004
